word1,word2,n,unique_ids,unique_authors
101,2019,11,1,1
102,2015,11,1,1
15,17,11,1,1
2,cnv,11,4,2
2016,terrace,11,1,1
base,hh,11,11,7
csv,2014,11,10,4
csv,mat,11,1,1
ic,1523,11,11,1
lakee5,data,11,1,1
rgb.tif,ru,11,1,1
txt,council1999,11,1,1
v1,txt,11,1,1
winter,toolik,11,4,1
03,0002,10,2,1
03,0008,10,3,1
03,0025,10,2,1
03,0034,10,2,1
03,0035,10,3,1
04,0008,10,3,1
07,17,10,7,3
07,single.csv,10,1,1
11,g12b,10,1,1
16,17,10,1,1
17,core16summittraverse1,10,1,1
18,17,10,1,1
1980,2010,10,2,2
2012,2013,10,7,2
2012,2016,10,2,1
2b,sbe37,10,1,1
5,7,10,2,2
6,18,10,1,1
8,17,10,1,1
basins,model,10,2,2
bc,5,10,1,1
calm,soilmoisture,10,5,1
community,v1,10,4,2
csv,atq,10,9,2
csv,brw,10,6,1
estimates,1980,10,2,2
ic,1991,10,9,2
irr,05,10,2,1
model,estimates,10,2,2
north,slope,10,2,2
slope,basins,10,2,2
txt,95,10,1,1
winter,e1,10,4,1
winter,e5,10,4,1
winter,e6,10,4,1
xtf,esquibel,10,1,1
001,2015,9,1,1
001,2019,9,1,1
03,0009,9,3,1
03,0011,9,3,1
03,0017,9,2,1
03,0031,9,1,1
03,0036,9,2,1
04,0002,9,3,1
04,0006,9,3,1
04,0020,9,3,1
07,11,9,5,2
08,11,9,2,2
13,txt,9,9,1
17,core8b,9,1,1
19,jun,9,1,1
1993,csv,9,9,4
1x5,v1,9,3,2
2017,08,9,1,1
2017,laketimeseries,9,1,1
2020,nc,9,2,2
5,17,9,1,1
5,6,9,2,2
98,txt,9,2,2
app,2010,9,3,1
arcss,1x5,9,3,2
atq,calm,9,6,1
barrow,alaska,9,9,1
compaction,bin,9,1,1
ctd,www1104,9,1,1
esquibel,19,9,1,1
firn,obs.nc,9,1,1
g12b,diffdem.tif,9,1,1
ice,bin,9,1,1
id,ntrl,9,1,1
itex,arcss,9,3,2
lake,contours.zip,9,9,1
laketimeseries,calon.csv,9,1,1
line06,nc,9,1,1
m1,4b,9,2,1
m3f,sbe56,9,1,1
mcat,bs3,9,4,1
meltinfo.txt,ko,9,1,1
ntrl,0,9,1,1
observatories,barrow,9,9,1
personnel,list,9,9,1
petermannglacier,sbe37sm,9,1,1
pressure.csv,2015,9,9,1
rho,bin,9,1,1
ru,ans,9,1,1
siberia,12,9,9,1
slwc,bin,9,1,1
txt,m3f,9,1,1
txt,warm,9,3,1
000000,cdf,8,8,2
03,0010,8,3,1
03,0013,8,3,1
03,0016,8,1,1
03,0018,8,1,1
03,0023,8,2,1
03,0024,8,2,1
03,0028,8,1,1
03,0030,8,1,1
03,0032,8,1,1
03,0038,8,3,1
04,0009,8,2,1
06,0014,8,3,1
06,0017,8,3,1
06,25,8,4,3
07,06,8,4,3
07,10,8,5,2
13,14,8,2,1
17,core10spurw,8,1,1
17,core13core14traverse,8,1,1
17,core8a,8,1,1
2011,csv,8,6,4
2012,csv,8,7,5
201209,swl,8,1,1
2013,winter,8,5,1
2014,reciprocal,8,6,2
2015,summer,8,5,1
2016,nc,8,2,2
20160326,sonic,8,1,1
20160327,sonic,8,1,1
20160328,sonic,8,1,1
20160329,sonic,8,1,1
20160330,sonic,8,1,1
20160331,sonic,8,1,1
20160401,sonic,8,1,1
20160402,sonic,8,1,1
20160403,sonic,8,1,1
20160404,sonic,8,1,1
20160405,sonic,8,1,1
20160406,sonic,8,1,1
20160407,sonic,8,1,1
20160408,sonic,8,1,1
20160409,sonic,8,1,1
20160410,sonic,8,1,1
20160411,sonic,8,1,1
20160412,sonic,8,1,1
20160413,sonic,8,1,1
20160414,sonic,8,1,1
20160415,sonic,8,1,1
20160416,sonic,8,1,1
20160417,sonic,8,1,1
20160418,sonic,8,1,1
20160419,sonic,8,1,1
20160420,sonic,8,1,1
20160421,sonic,8,1,1
20160422,sonic,8,1,1
20160423,sonic,8,1,1
20160424,sonic,8,1,1
20160425,sonic,8,1,1
20160426,sonic,8,1,1
20160427,sonic,8,1,1
20160428,sonic,8,1,1
20160429,sonic,8,1,1
20160430,sonic,8,1,1
20160501,sonic,8,1,1
20160502,sonic,8,1,1
20160503,sonic,8,1,1
20160504,sonic,8,1,1
20160505,sonic,8,1,1
20160506,sonic,8,1,1
20160507,sonic,8,1,1
20160509,sonic,8,1,1
20160510,sonic,8,1,1
20160511,sonic,8,1,1
20160512,sonic,8,1,1
20160513,sonic,8,1,1
20160514,sonic,8,1,1
2019,07,8,2,2
21,csv,8,4,2
23,17,8,1,1
25,17,8,1,1
26,17,8,1,1
3,cnv,8,5,3
30min,v3,8,1,1
5,23,8,1,1
5,25,8,1,1
5,26,8,1,1
5b,sbe56,8,1,1
6,9,8,1,1
badgeley,etal,8,1,1
ca,bis,8,4,1
ca,isa,8,4,1
ch4,csv,8,8,3
csv,2013,8,6,2
csv,fa16,8,1,1
diffdem.tif,peters,8,1,1
dimple,lake,8,1,1
do.csv,2015,8,7,1
e5,temperature.csv,8,4,1
e6,temperature.csv,8,4,1
etal,2020,8,1,1
fa16,4,8,2,1
fa16,6,8,2,1
format,dp.csv,8,1,1
golden,pond,8,1,1
greencabin,lake,8,1,1
horn,lake,8,1,1
ions.csv,2015,8,8,1
island,lake,8,1,1
itex,plant,8,3,2
lake,ice,8,2,2
light.csv,2015,8,8,1
lower,campsite,8,1,1
luna,lake,8,1,1
nc,cesm2,8,1,1
perched,lake,8,1,1
profiler,data,8,4,1
reciprocal,transplant,8,6,2
ru,bp,8,1,1
site,information,8,8,2
snc01,strdprctc,8,1,1
south,esq,8,1,1
toolik,temperature.csv,8,4,1
txt,ivotuk1998,8,1,1
unflag.txt,20160326,8,1,1
unflag.txt,20160327,8,1,1
unflag.txt,20160328,8,1,1
unflag.txt,20160329,8,1,1
unflag.txt,20160330,8,1,1
unflag.txt,20160331,8,1,1
unflag.txt,20160401,8,1,1
unflag.txt,20160402,8,1,1
unflag.txt,20160403,8,1,1
unflag.txt,20160404,8,1,1
unflag.txt,20160405,8,1,1
unflag.txt,20160406,8,1,1
unflag.txt,20160407,8,1,1
unflag.txt,20160408,8,1,1
unflag.txt,20160409,8,1,1
unflag.txt,20160410,8,1,1
unflag.txt,20160411,8,1,1
unflag.txt,20160412,8,1,1
unflag.txt,20160413,8,1,1
unflag.txt,20160414,8,1,1
unflag.txt,20160415,8,1,1
unflag.txt,20160416,8,1,1
unflag.txt,20160417,8,1,1
unflag.txt,20160418,8,1,1
unflag.txt,20160419,8,1,1
unflag.txt,20160420,8,1,1
unflag.txt,20160421,8,1,1
unflag.txt,20160422,8,1,1
unflag.txt,20160423,8,1,1
unflag.txt,20160424,8,1,1
unflag.txt,20160425,8,1,1
unflag.txt,20160426,8,1,1
unflag.txt,20160427,8,1,1
unflag.txt,20160428,8,1,1
unflag.txt,20160429,8,1,1
unflag.txt,20160430,8,1,1
unflag.txt,20160501,8,1,1
unflag.txt,20160502,8,1,1
unflag.txt,20160503,8,1,1
unflag.txt,20160504,8,1,1
unflag.txt,20160505,8,1,1
unflag.txt,20160506,8,1,1
unflag.txt,20160507,8,1,1
unflag.txt,20160509,8,1,1
unflag.txt,20160510,8,1,1
unflag.txt,20160511,8,1,1
unflag.txt,20160512,8,1,1
unflag.txt,20160513,8,1,1
upper,zev,8,1,1
uptempo,2015,8,1,1
ver1,tif,8,4,1
warm,buoy,8,3,1
wolverine,lake,8,1,1
002,2017,7,3,2
03,0001,7,1,1
03,0003,7,1,1
03,0004,7,2,1
03,0006,7,2,1
03,0007,7,2,1
03,0022,7,2,1
03,0027,7,3,1
03,0039,7,1,1
03,0043,7,2,1
06,0002,7,3,1
06,0015,7,2,1
06,20,7,4,3
07,csv,7,3,2
08,13,7,1,1
08,26,7,3,2
1,dcc,7,1,1
10,0001,7,2,1
10,0002,7,2,1
10,0003,7,2,1
10,0004,7,2,1
10,0005,7,2,1
10,0006,7,2,1
10,0009,7,2,1
10,0010,7,2,1
101,2015,7,1,1
13,2016,7,1,1
15,single.csv,7,1,1
17,core11spure,7,1,1
17,core12spurw,7,1,1
17,core15core16traverse,7,1,1
1991,csv,7,7,3
1992,2016,7,1,1
2,17,7,1,1
2014,summer,7,5,1
2016,tutakoke,7,1,1
2017,2019,7,2,2
2018,09,7,2,2
2019,09,7,2,2
2019,9,7,1,1
2100,nc,7,3,3
27,17,7,1,1
2b,sbe56,7,1,1
3,csv,7,3,3
4b,sbe37,7,1,1
5,10,7,2,2
5,27,7,1,1
5,8,7,2,2
6,15,7,1,1
6,2,7,1,1
9,19,7,1,1
ans,tr2,7,1,1
atqasuk,detailed,7,3,2
bp,tr2,7,1,1
brw,calm,7,5,1
bs3,2014,7,1,1
ch,2044,7,7,1
climate,00,7,1,1
cnv,201209,7,1,1
coordinates,2015,7,7,1
csv,seedpredator,7,1,1
csv,tfs,7,1,1
ctd,www1002,7,1,1
ctd,www1003,7,1,1
ctd,www1102,7,1,1
data,csv,7,3,2
dbo3,csv,7,7,3
dcc,station,7,7,2
detailed,microclimate,7,3,2
e1,temperature.csv,7,4,1
final.txt,uptempo,7,1,1
flux,00,7,1,1
ice,regimes,7,1,1
icetemp.txt,hills,7,1,1
itex,thaw,7,3,2
m3f,sbe37,7,1,1
meltinfo.txt,ji,7,1,1
meltinfo.txt,zi,7,1,1
mn,01,7,1,1
monthly.nc,gen3ens,7,1,1
n2,temperature.csv,7,4,1
no3,cnv,7,1,1
orcutt,nh1,7,1,1
orcutt,sc1,7,1,1
plant,community,7,2,2
qc,snc01,7,1,1
qc.txt,m1,7,1,1
readme.txt,sonic,7,1,1
regimes,1992,7,1,1
skq201711s,wt1,7,1,1
spconductance.csv,2014,7,7,1
spconductance.csv,2015,7,7,1
summer,toolik,7,4,1
table,dbo3,7,7,3
thaw,v1,7,3,2
tsp,northamerica,7,7,1
txt,sum,7,2,2
unflag.txt,20160514,7,1,1
0008,09,6,2,1
03,0005,6,1,1
03,0020,6,2,1
03,0040,6,2,1
03,0041,6,1,1
03,0042,6,2,1
03,0049,6,2,1
03,0051,6,2,1
03,0052,6,2,1
03,0053,6,2,1
06,0008,6,1,1
06,0009,6,1,1
06,0019,6,3,1
06,2019,6,2,1
06,21,6,4,3
06,26,6,3,2
07,02,6,3,2
07,05,6,4,3
07,23,6,3,2
08,25,6,4,2
08nsidc.csv,ru,6,1,1
1,tif,6,3,3
10,0007,6,2,1
10,0011,6,1,1
10,0012,6,1,1
10,0013,6,1,1
10,0014,6,1,1
10,0018,6,1,1
10,0019,6,1,1
10,0020,6,1,1
10,0021,6,1,1
10,0022,6,1,1
10,0023,6,1,1
10,0024,6,1,1
10,0025,6,1,1
10,0026,6,1,1
10,0033,6,1,1
10,0044,6,2,1
10,0045,6,2,1
10,0046,6,2,1
10,0047,6,2,1
10,0049,6,2,1
10,0051,6,2,1
13,17,6,1,1
150705,n83,6,1,1
1523,csv,6,6,1
16,2019,6,2,1
17,13,6,6,1
17,core11spurw,6,1,1
17,core12core13traverse,6,1,1
17,core13spurw,6,1,1
17,core14core15traverse,6,1,1
17,core14spurw,6,1,1
17,core15spurw1,6,1,1
17,core16spurw,6,1,1
17,core7core8traverse,6,1,1
17,core7survey,6,1,1
17,core8c1,6,1,1
17,core8spure,6,1,1
17,core9spiral,6,1,1
17,csv,6,4,2
18,2019,6,2,1
19,2019,6,2,1
2006,nc,6,2,2
2012,234,6,1,1
2012,5p15,6,1,1
2013,csv,6,6,4
2013,firnair,6,1,1
2013,summer,6,5,1
2014,barrow,6,6,1
2015,2017,6,4,4
2015,barrow,6,6,2
2016,09,6,1,1
2016,barrow,6,6,2
2016jschedlbauer,transplant,6,2,1
2017,2018,6,2,2
2017,barrow,6,6,2
2018,barrow,6,6,2
2019,08,6,2,2
2019,barrow,6,6,1
22nov2013,csv,6,2,1
26,0,6,2,1
27,2019,6,2,1
27,csv,6,3,1
31,17,6,1,1
45,0,6,2,1
5,31,6,1,1
5p15,nc,6,1,1
6,10,6,1,1
6,12,6,1,1
6,13,6,1,1
6,16,6,1,1
6,6,6,1,1
6,7,6,1,1
85,0,6,2,1
accumulation,rate,6,1,1
activelayer,data,6,2,1
alaska.csv,carlson,6,1,1
alexander,dengrad,6,6,1
aln,tr1,6,1,1
arctic,data,6,4,3
atq,misp,6,5,1
atqasuk,climate,6,3,2
bf009,cnv,6,3,1
bf013,cnv,6,3,1
bf017,cnv,6,3,1
bf021,cnv,6,3,1
brw,misp,6,5,1
ca,mob,6,3,1
calm,subset,6,3,1
climate,99,6,1,1
clpx,depth,6,1,1
cnv,station,6,6,4
csv,2017,6,6,1
csv,ecl,6,2,1
csv,hth,6,1,1
csv,u41,6,1,1
csv,u88,6,1,1
csv,us78,6,1,1
ctd,data,6,6,3
cyn,tr2,6,1,1
data,2016,6,3,1
data,center,6,4,3
dissoxy.csv,2015,6,6,1
dye,2,6,3,1
edge.tif,ru,6,1,1
elson,clean,6,1,1
eureka,canada,6,6,1
fa,15,6,1,1
flux,99,6,1,1
g3600m,v3a,6,1,1
g4500m,v3a,6,1,1
green.tif,ru,6,1,1
gris,g3600m,6,1,1
gris,g4500m,6,1,1
hh,1,6,6,5
hv,depth,6,1,1
id,niso,6,1,1
id,sia,6,1,1
information,2015,6,6,1
l3,bro,6,2,1
lhs,samples,6,6,1
line07,nc,6,1,1
m.tif,clpx,6,1,1
n2,spconductance.csv,6,4,1
nasa,se,6,3,1
nc,data,6,2,2
nc,lhs,6,6,1
ndvi.tif,ru,6,1,1
niso,0,6,1,1
nmm3d,lut,6,1,1
nsidc.csv,mn,6,1,1
observatories,eureka,6,6,1
orcutt,l129,6,1,1
orcutt,l520,6,1,1
orcutt,manta,6,1,1
orcutt,sc2,6,1,1
peters,170428,6,1,1
po4,cnv,6,1,1
precipitation,scenario,6,1,1
rate,records,6,1,1
red,edge.tif,6,1,1
red.tif,ru,6,1,1
ru,aln,6,1,1
samples,gcm.csv,6,6,1
shakan,bay,6,1,1
sia,0,6,1,1
skq201711s,bc2,6,1,1
spconductance.csv,2013,6,6,1
subset,uas,6,3,1
summit,2013,6,1,1
txt,ak,6,1,1
uaf,101,6,5,1
uppercapsulelake,data,6,1,1
v1,aon.txt,6,2,1
v20171130,csv,6,1,1
v3,txt,6,1,1
xyz,shakan,6,1,1
0001,09,5,2,1
0002,09,5,2,1
0002,11,5,2,1
0002,16,5,2,1
0003,09,5,2,1
0008,08,5,1,1
0008,11,5,1,1
0009,10,5,1,1
0009,11,5,1,1
002,2015,5,1,1
005,2015,5,2,1
01,csv,5,5,3
03,0019,5,1,1
03,0021,5,1,1
03,0045,5,2,1
03,0054,5,2,1
03,2019,5,2,1
04,0012,5,2,1
04,0018,5,2,1
04,0019,5,2,1
05,2019,5,2,1
05,29,5,3,2
06,0012,5,1,1
06,0013,5,1,1
06,19,5,3,2
07,08,5,4,3
07,24,5,4,3
08,0021,5,1,1
08,16,5,4,2
08,28,5,2,1
09,10,5,3,1
09,21,5,2,2
1,1,5,5,4
10,0008,5,2,1
11,2019,5,2,1
12june,31aug,5,1,1
15,2019,5,2,1
1523,gapfilled,5,5,1
17,core10core11traverse,5,1,1
17,core9core10traverse2,5,1,1
17,jun,5,1,1
18,jun,5,1,1
2,1,5,5,3
2,csv,5,4,4
2,tif,5,2,2
20,csv,5,3,2
2005,2006,5,1,1
2009,nc,5,2,2
2010,2017,5,2,2
2012,barrow,5,5,1
2013,2017,5,2,2
2013,barrow,5,5,1
2016,alaska.csv,5,1,1
2017,txt,5,3,2
2018,08,5,1,1
2044,csv,5,5,1
26,2016,5,1,1
26,2019,5,2,1
29,2019,5,2,1
31aug,v.txt,5,1,1
5,9,5,2,2
50cm.tif,peters,5,1,1
6,14,5,1,1
90roll3,csv,5,5,1
96,heath,5,1,1
adcp,bs3,5,5,1
alaska,2016,5,2,2
amf,ca,5,5,4
aon,ch,5,5,1
app,2011,5,2,1
asdn,bird,5,1,1
bf005,cnv,5,2,1
brwdoas,l3,5,1,1
bs3,2005,5,1,1
bzc,102,5,5,1
cadis.csv,u31,5,1,1
chukchi,clean,5,1,1
cnv,2012,5,1,1
csv,94,5,1,1
csv,copy,5,1,1
csv,u32,5,1,1
csv,us77,5,1,1
ctd,www1005,5,1,1
data,v2,5,2,2
dem,50cm,5,1,1
dem,50cm.tif,5,1,1
dissolved,gases,5,1,1
dissoxy.csv,2013,5,5,1
dissoxy.csv,2014,5,5,1
e1,spconductance.csv,5,3,1
eager,czimczik,5,3,1
ecl,isotopes,5,1,1
envirodata.csv,arcsees,5,1,1
ethaneacetylene,2ky.txt,5,1,1
gases,2012,5,1,1
hh,2,5,5,3
keku,17,5,1,1
lake,dissolved,5,1,1
lake,physchem,5,1,1
lakefog2,data,5,1,1
leaf,length,5,3,1
m.tif,hv,5,1,1
mar.tif,fac10,5,1,1
mb,1979,5,1,1
microclimate,v1,5,3,2
miniflux,soda,5,1,1
nc,tas,5,1,1
nir.tif,ru,5,1,1
orcutt,l56,5,1,1
organic,carbon,5,3,2
physchem,2012,5,1,1
polaris,2017,5,5,1
prcp,1979,5,1,1
sbe37sm,pg16,5,1,1
seaice.dat,nmm3d,5,1,1
shakan,18,5,1,1
si,cnv,5,1,1
sizrs,final.txt,5,1,1
skq201711s,bc1,5,1,1
skq201711s,dbo4,5,1,1
skq201711s,wt2,5,1,1
slugtests.csv,fa16,5,1,1
snc04,strdprctc,5,1,1
snow,depth,5,3,2
soda,l1,5,1,1
soil,temperature,5,4,3
stratigraphy,profile.csv,5,1,1
suib,water,5,1,1
summer,e1,5,3,1
summer,n2,5,3,1
t2,1979,5,1,1
t3,t5,5,1,1
temperature.csv,2013,5,5,1
temperature.csv,2014,5,5,1
temperature.csv,2015,5,5,1
toolik,dissoxy.csv,5,3,1
toolik,spconductance.csv,5,4,1
tr1,fl008m,5,1,1
tr1,fl016m,5,1,1
tr1,fl020m,5,1,1
tr2,fl005m,5,1,1
tr2,fl013m,5,1,1
tr2,fl017m,5,1,1
water,column,5,3,1
water,level,5,1,1
0001,10,4,1,1
0002,08,4,1,1
0002,10,4,1,1
0002,13,4,1,1
0002,19,4,1,1
0003,08,4,1,1
0005,09,4,2,1
0006,08,4,1,1
0006,09,4,2,1
0007,08,4,1,1
0007,09,4,2,1
0007,10,4,1,1
0007,11,4,1,1
0008,10,4,1,1
0008,15,4,2,1
0009,08,4,1,1
0009,09,4,2,1
0009,12,4,1,1
0009,15,4,2,1
0013,12,4,1,1
0014,16,4,2,1
0015,11,4,2,1
0015,16,4,2,1
002,2016,4,1,1
005,2016,4,1,1
005,2017,4,2,2
01,2014,4,1,1
01,p0001,4,4,1
014,2015,4,2,1
02,2019,4,2,1
03,0044,4,1,1
03,0046,4,2,1
03,0048,4,2,1
03,0050,4,1,1
03,0055,4,2,1
03,0057,4,2,1
04,0001,4,1,1
04,0014,4,3,1
05,28,4,4,2
06,0018,4,1,1
06,07,4,2,2
06,16,4,3,2
07,18,4,4,2
07,2019,4,2,1
07,27,4,3,2
08,0003,4,1,1
08,0007,4,1,1
08,0008,4,1,1
08,0009,4,1,1
08,0015,4,1,1
08,0021a,4,1,1
08,18,4,3,2
08,24,4,3,1
08,27,4,2,1
09,27,4,2,1
1,arctic,4,1,1
1,bathy,4,2,1
103,2018,4,2,2
12,2019,4,2,1
12juneaug,v.txt,4,1,1
13,0002,4,3,1
17,core10spure,4,1,1
17,core13spure,4,1,1
17,core8c2,4,1,1
17,core8core9traverse,4,1,1
17,core9spurw,4,1,1
18,csv,4,2,1
1993,gapfilled,4,4,1
1b,sbe37,4,1,1
2000,txt,4,2,2
2001,txt,4,2,2
2003,nc,4,2,2
2004,nc,4,2,2
20072008,aon,4,2,1
2008,2009,4,1,1
2008,aon,4,4,2
201,2016,4,2,1
201,2017,4,2,1
201,2018,4,2,1
2010,00,4,1,1
2010,01,4,2,2
2010,csv,4,3,2
2011,aon,4,4,1
2013,07,4,1,1
2013,xyz,4,1,1
