word1,word2,word3,n
monitoring,calm,grid,14
ocean,flux,buoy,14
polar,atmospheric,emitted,14
psea,10,01,14
reflectance,measurements,nims,14
soil,moisture,nims,14
soil,temperature,nims,14
sonar,data,eastern,14
summit,greenland,environmental,14
temperature,nims,grid,14
acoustic,doppler,current,13
alaska,2015,2016,13
american,glaciers,1981,13
american,glaciers,1991,13
american,glaciers,1993,13
barrow,alaska,2010,13
barrow,alaska,2012,13
cruise,merged,chemistry,13
doppler,current,profiler,13
glaciers,1990,roll,13
hourly,time,series,13
laurier,swl,cruise,13
log,weather,information,13
measurements,summit,station,13
merged,chemistry,parameters,13
methanesulfonic,acid,concentrations,13
misp,spectroradiometer,data,13
north,pole,environmental,13
ocean,optics,jaz,13
platform,misp,datalogger,13
platform,misp,spectroradiometer,13
pole,environmental,observatory,13
ship,log,weather,13
station,alaska,2007,13
swl,cruise,merged,13
temperature,data,2013,13
tree,ring,data,13
west,siberia,russia,13
wilfrid,laurier,swl,13
01,ship,log,12
03,adcp,data,12
active,layer,arcss,12
atqasuk,alaska,2011,12
backscatter,lidar,measurements,12
barrow,field,intensive,12
base,height,measurements,12
bering,strait,mooring,12
ccgs,sir,wilfrid,12
ceilometer,cloud,base,12
chukchi,sea,2014,12
climate,data,site,12
cloud,base,height,12
cloud,radar,measurements,12
daily,average,soil,12
field,intensive,spring,12
flux,data,site,12
glaciers,1981,roll,12
glaciers,1991,roll,12
glaciers,1993,roll,12
hydrographic,ccgs,louis,12
intensive,spring,2009,12
interferometer,measurements,summit,12
lake,water,hourly,12
laurent,cruise,ctd,12
laurier,southern,chukchi,12
layer,arcss,grid,12
lidar,mpl,measurements,12
measurements,nims,grid,12
micropulse,lidar,mpl,12
moisture,arcss,grid,12
oasis,barrow,field,12
observing,network,aon,12
occurrence,sensor,system,12
p1,92,ar,12
precipitation,occurrence,sensor,12
radiance,interferometer,measurements,12
ranging,sodar,measurements,12
roll,4,jpegs,12
sea,sediment,core,12
sensor,system,measurements,12
sir,wilfred,laurier,12
soil,moisture,arcss,12
soil,temperature,arcss,12
st,laurent,cruise,12
strait,mooring,data,12
temperature,arcss,grid,12
water,hourly,time,12
wilfrid,laurier,southern,12
alaska,2016,2017,11
alaska,beaufort,sea,11
american,glaciers,1972,11
american,glaciers,1995,11
archipelago,throughflow,study,11
arctic,coastal,plain,11
atqasuk,alaska,2015,11
beaufort,sea,152,11
canadian,archipelago,throughflow,11
data,ncar,eol,11
difference,vegetation,index,11
fen,station,imnavait,11
flux,measurements,fen,11
flux,measurements,tussock,11
forecasting,wrf,model,11
greenland,melt,season,11
ground,penetrating,radar,11
marine,earth,science,11
measurements,arcss,grid,11
measurements,fen,station,11
measurements,tussock,station,11
microwave,radiometer,measurements,11
misp,grid,barrow,11
normalized,difference,vegetation,11
particulate,organic,carbon,11
reflectance,measurements,arcss,11
roll,4,thumbnails,11
sadcp,data,barrow,11
sea,152,west,11
sea,ice,melt,11
site,ascii,walker,11
site,clip,1,11
site,clip,2,11
site,clip,3,11
site,clip,4,11
site,excel,walker,11
sky,brightness,temperature,11
stream,discharge,data,11
sum,antenna,array,11
tussock,station,imnavait,11
uvsimn,version2,barrow,11
wilfred,laurier,bering,11
wrf,model,output,11
02,01,satellite,10
02,03,satellite,10
1,tiffs,fiducials,10
2016,june,2017,10
active,layer,depth,10
active,layer,nims,10
ak,november,2016,10
american,glaciers,1973,10
american,glaciers,1980,10
arctic,ecosystem,plot,10
arctic,ocean,2015,10
arctic,system,science,10
atqasuk,alaska,2013,10
atqasuk,alaska,2014,10
barrow,alaska,2014,10
barrow,alaska,2016,10
beaufort,sea,coast,10
benthic,station,data,10
csasn,specific,conductance,10
current,profiler,data,10
depth,wtd,nims,10
environmental,observatory,npeo,10
experiment,itex,plots,10
gif,ncar,eol,10
glaciers,1972,roll,10
glaciers,1995,roll,10
grid,toolik,lake,10
hly,07,02,10
log,navigation,information,10
mnt,site,ascii,10
mnt,site,excel,10
northeast,chukchi,sea,10
november,2016,june,10
organic,carbon,doc,10
plot,ncar,eol,10
ship,log,navigation,10
ship,underway,data,10
station,alaska,2015,10
time,series,calon,10
underway,sensor,data,10
utqiagvik,ak,november,10
uvsimn,version2,summit,10
western,arctic,ocean,10
wtd,nims,grid,10
2015,2016,field,9
2016,field,deployment,9
37,water,quality,9
american,glaciers,1997,9
arctic,margin,september,9
atmospheric,observatories,barrow,9
average,weather,data,9
beaufort,sea,alaska,9
beaufort,shelf,edge,9
black,rapids,glacier,9
boreal,forest,data,9
calm,grids,barrow,9
canadian,arctic,archipelago,9
chukchi,sea,2015,9
cloud,scale,turbulent,9
coast,2018,ongoing,9
community,data,walker,9
depth,sounder,data,9
dmsp,satellite,data,9
edge,mooring,array,9
elog,event,data,9
glaciers,1973,roll,9
glaciers,1980,roll,9
guard,ship,ccgs,9
healy,hly,02,9
ice,melt,ponds,9
khz,adcp,data,9
latnjajaure,site,papp,9
laurier,northern,bering,9
moist,acidic,tundra,9
northeastern,siberia,boreal,9
observatories,barrow,alaska,9
ocean,conditions,b62,9
phytomass,data,epstein,9
radar,echograms,greenland,9
raw,knudsen,320b,9
roll,5,tiffs,9
satellite,data,cooper,9
sbe,37,water,9
scale,turbulent,dissipation,9
science,program,arcss,9
scs,underway,sensor,9
sea,coast,2018,9
seasonal,soil,moisture,9
shelf,edge,mooring,9
ship,ccgs,sir,9
siberia,boreal,forest,9
slope,alaska,2012,9
soil,moisture,measurements,9
station,alaska,2006,9
station,greenland,2010,9
station,greenland,2016,9
system,science,program,9
toolik,site,1,9
turbulent,dissipation,rate,9
water,samples,collected,9
weather,data,shaver,9
01,adcp,data,8
02,ship,log,8
2016,2017,field,8
2017,field,deployment,8
adcp,data,2013,8
alaska,2015,2018,8
american,glaciers,1971,8
anaktuvuk,river,fire,8
aon,conductivity,temperature,8
arctic,national,wildlife,8
atmospheric,observatories,eureka,8
atqasuk,alaska,2010,8
barrow,alaska,2013,8
benthic,faunal,data,8
benthic,faunal,summaries,8
borehole,sites,2015,8
box,core,sample,8
carbon,doc,data,8
chukchi,sea,2017,8
chukchi,seas,2012,8
community,data,molau,8
community,surface,reflectance,8
data,benthic,faunal,8
data,bret,harte,8
data,shrub,site,8
eastern,alaska,range,8
faunal,summaries,abundance,8
flux,measurements,ridge,8
glaciers,1997,roll,8
greenland,arctic,observing,8
ground,temperatures,council,8
ground,temperatures,ivotuk,8
hly,03,03,8
ibp,microtopographic,grid,8
ivotuk,climate,data,8
ivotuk,flux,data,8
jarvis,glacier,alaska,8
marine,mammal,watch,8
measurements,ridge,station,8
mesozooplankton,grazing,rates,8
meteorological,data,station,8
minute,averaged,data,8
national,wildlife,refuge,8
network,aon,conductivity,8
nitrogen,isotope,dynamics,8
observatories,eureka,canada,8
observed,ground,temperatures,8
observing,network,program,8
p1,92,14,8
peat,plateau,core,8
permafrost,peat,plateau,8
plant,community,surface,8
plateau,core,data,8
radiation,data,station,8
raw,seabeam,data,8
reflectance,mobile,instrumented,8
remote,sensing,brw,8
ridge,station,imnavait,8
sea,ice,cover,8
sensor,calibration,data,8
soil,data,station,8
station,data,benthic,8
station,greenland,2011,8
station,greenland,2012,8
station,greenland,2013,8
station,greenland,2014,8
station,greenland,2015,8
station,greenland,2017,8
station,greenland,2018,8
station,greenland,2019,8
station,greenland,arctic,8
summaries,abundance,biomass,8
surface,reflectance,mobile,8
toolik,site,2,8
uptempo,buoys,deployed,8
vegetation,index,ndvi,8
wildlife,refuge,alaska,8
wilfrid,laurier,northern,8
02,01,ship,7
02,03,ship,7
10,min,averages,7
18,16,ratio,7
2,min,averages,7
2015,viper,project,7
30,min,averages,7
5,min,averages,7
adcp,data,10,7
adcp,data,2,7
adcp,data,30,7
adcp,data,5,7
agashashok,river,alaska,7
ais,data,record,7
american,glaciers,1970,7
american,glaciers,1976,7
arctic,buoy,programme,7
arctic,marine,shipping,7
arctic,ocean,2011,7
arctic,ocean,2013,7
arctic,satellite,automatic,7
atqasuk,alaska,2017,7
automatic,identification,system,7
barrow,alaska,2017,7
bowhead,whale,feeding,7
camp,preliminary,ctd,7
chlorophyll,data,measured,7
ctd,data,whp,7
data,10,min,7
data,2,min,7
data,30,min,7
data,5,min,7
data,sambrotto,whoi,7
digital,elevation,model,7
dissolved,organic,matter,7
e6,north,slope,7
eastern,lake,water,7
ecology,study,bowfest,7
feeding,ecology,study,7
flux,measurements,pleistocene,7
generation,arctic,marine,7
glaciers,1971,roll,7
greenland,2011,2014,7
healy,hly,08,7
hly,04,04,7
ice,cap,greenland,7
ice,core,chemistry,7
identification,system,ais,7
imnavait,creek,watershed,7
international,arctic,buoy,7
kuparuk,river,basin,7
lake,e6,north,7
layer,nims,grid,7
marine,shipping,assessments,7
maritime,ship,traffic,7
measurements,pleistocene,park,7
misp,grid,atqasuk,7
nims,grid,toolik,7
northern,alaska,jia,7
nutrient,oxygen,18,7
oxygen,18,16,7
pan,arctic,satellite,7
park,cherskii,russia,7
particulate,organic,matter,7
pit,major,ion,7
pleistocene,park,cherskii,7
roll,5,jpegs,7
roll,5,thumbnails,7
samples,collected,aboard,7
satellite,automatic,identification,7
satellite,dmsp,ols,7
sea,ice,thickness,7
sediment,samples,collected,7
sites,2015,viper,7
slope,alaska,2015,7
snow,depth,data,7
snow,pit,major,7
station,greenland,2020,7
summit,greenland,2011,7
surface,mass,balance,7
surface,sediment,samples,7
system,ais,data,7
terascan,dmsp,satellite,7
toolik,lake,coldfoot,7
whale,feeding,ecology,7
01,satellite,avhrr,6
02,03,sediment,6
03,satellite,avhrr,6
03,sediment,core,6
03,ship,log,6
1,km,grid,6
3,community,data,6
4,community,data,6
75,khz,adcp,6
acid,concentrations,ice,6
active,layer,measurements,6
aerial,photography,arcss,6
alaska,2014,2016,6
alaska,2015,2017,6
alaska,borehole,sites,6
american,glaciers,1968,6
american,glaciers,1987,6
arctic,ocean,2012,6
arctic,ocean,2014,6
arctic,pacific,environment,6
avhrr,1km,channel,6
barrow,environmental,observatory,6
beaufort,sea,sediment,6
bottle,data,whp,6
bottom,location,information,6
bowhead,whale,distributions,6
calm,grid,atqasuk,6
ccgs,canadian,coast,6
central,arctic,2007,6
central,arctic,2011,6
chaoz,passive,acoustic,6
chromatography,hplc,pigment,6
chukchi,sea,arctic,6
chukchi,sea,sediment,6
circumarctic,active,layer,6
climate,ncar,iss,6
concentrations,ice,sheet,6
core,major,ion,6
council,climate,ncar,6
creek,watershed,interior,6
cruise,nbp03,04a,6
ctd,yoyo,cast,6
data,arctic,ocean,6
data,beaufort,sea,6
data,core,mb,6
data,core,uic13,6
data,eastern,alaska,6
data,forest,site,6
data,matlab,format,6
discharge,data,ascii,6
discharge,data,excel,6
dissolved,ba,measurements,6
dissolved,inorganic,carbon,6
environment,icescape,conductivity,6
environmental,variability,bowhead,6
european,north,russia,6
flight,level,data,6
glaciers,1970,roll,6
glaciers,1976,roll,6
gps,data,eastern,6
grid,imnavait,alaska,6
ground,ice,data,6
healy,hly,09,6
hly1104,winter,cruise,6
hourly,average,weather,6
hplc,pigment,data,6
hrpt,satellite,data,6
ice,bottom,location,6
ice,camp,site,6
ice,cover,sea,6
icescape,conductivity,temperature,6
inorganic,carbon,dic,6
inupiat,subsistence,whaling,6
jarvis,creek,watershed,6
kuskokwim,delta,fire,6
lake,north,slope,6
laurier,barrow,canyon,6
level,data,ncar,6
liquid,chromatography,hplc,6
mammal,watch,sea,6
manitoba,peatland,carbon,6
matlab,format,flagg,6
microphysics,flight,level,6
monitoring,calm,grids,6
ncar,eol,service,6
nims,grid,imnavait,6
north,slope,paludified,6
optics,jaz,1,6
organic,carbon,poc,6
pacific,environment,icescape,6
paludified,tundra,soil,6
particulate,nitrogen,pn,6
passive,acoustic,mooring,6
performance,liquid,chromatography,6
photography,arcss,grid,6
plant,community,composition,6
polar,desert,ecosystem,6
preliminary,ascii,andreas,6
preliminary,ctd,yoyo,6
preliminary,gif,andreas,6
processing,greenland,july,6
program,arcss,grid,6
raw,75,khz,6
reciprocal,transplant,gardens,6
ring,data,lloyd,6
russian,european,north,6
satellite,avhrr,1km,6
satellite,avhrr,channel,6
satellite,data,ashjian,6
satellite,data,sambrotto,6
satellite,noaa,12,6
seasonal,active,layer,6
seawater,sampling,aboard,6
sediment,trap,fluxes,6
site,preliminary,ascii,6
site,preliminary,gif,6
slope,alaska,2014,6
slope,paludified,tundra,6
snacs,environmental,variability,6
snow,water,equivalent,6
snowfence,experiment,2002,6
soil,carbon,data,6
tundra,site,ascii,6
tundra,site,excel,6
tundra,site,romanovsky,6
tundra,soil,carbon,6
underway,seawater,sampling,6
uranium,238,distributions,6
variability,bowhead,whale,6
watch,sea,ice,6
water,track,sites,6
watershed,interior,alaska,6
weather,station,data,6
wilfrid,laurier,barrow,6
wolstenholme,fjord,greenland,6
01,elog,event,5
01,raw,knudsen,5
01,scs,underway,5
01,ship,underway,5
03,particulate,organic,5
03,ship,underway,5
1990,roll,3,5
2,tiffs,fiducials,5
2012,ocean,optics,5
acidic,tundra,site,5
aerial,photogrammetry,august,5
alaska,2011,2016,5
alaska,2012,2013,5
alaska,2013,2014,5
alaska,2014,2015,5
alaska,2017,2018,5
alaska,aerial,photogrammetry,5
alaska,range,2012,5
alaskan,tundra,ecosystems,5
aleutian,islands,alaska,5
american,glacier,aerial,5
american,glaciers,1967,5
american,glaciers,1969,5
american,glaciers,1984,5
american,glaciers,1988,5
american,glaciers,1996,5
analysis,aleutian,islands,5
arctic,lter,toolik,5
arctic,margin,august,5
arctic,ocean,2003,5
artifact,analysis,aleutian,5
ascii,crrel,perovich,5
ascii,psc,morison,5
atlantic,water,inflow,5
august,2,2015,5
automated,weather,station,5
basins,arctic,ocean,5
beaufort,gyre,observing,5
beaufort,sea,2011,5
benthic,macroinfaunal,samples,5
bering,sea,integrated,5
bering,strait,1,5
bering,strait,2,5
bering,strait,3,5
bering,strait,4,5
bering,strait,cruise,5
bluff,tree,ring,5
boulder,patch,beaufort,5
broad,scale,distribution,5
burn,severity,gradient,5
calm,grid,barrow,5
camp,summer,leads,5
central,arctic,2004,5
chukchi,seas,2013,5
classification,music,antenna,5
creek,stream,discharge,5
cruise,underway,data,5
ctd,data,barrow,5
ctd,data,woodgate,5
current,profiler,adcp,5
cutter,healy,hly1402,5
cutter,healy,hly1702,5
data,2012,ocean,5
data,2016,2017,5
data,ascii,hinzman,5
data,ascii,sturm,5
data,ashjian,uw,5
data,excel,hinzman,5
data,excel,sturm,5
data,nims,2012,5
davis,strait,observational,5
delta,alaska,2015,5
depth,wtd,measurements,5
desert,ecosystem,replicate,5
distortionless,response,mvdr,5
doctoral,dissertation,improvement,5
drained,thaw,lake,5
e1,north,slope,5
e5,north,slope,5
elevation,model,dem,5
eureka,nunavut,canada,5
experimental,burn,severity,5
fjord,west,greenland,5
forest,density,gradient,5
frozen,ground,depth,5
glacier,aerial,photographs,5
glacier,southeast,alaska,5
glaciers,1968,roll,5
glaciers,1987,roll,5
greenland,january,june,5
greenland,july,december,5
grid,lidar,photographs,5
guard,ship,sir,5
gyre,observing,system,5
heat,flux,data,5
hly,02,"01,03",5
ibp,plot,data,5
ice,camp,summer,5
imnavait,alaska,2012,5
imnavait,logger,data,5
imnavait,spectrometer,data,5
inflow,experiment,atwain,5
integrated,ecosystem,research,5
islands,alaska,2013,5
ivotuk,moss,site,5
ivotuk,shrub,site,5
jamstec,conductivity,temperature,5
jamstec,shipboard,acoustic,5
kuparuk,river,watershed,5
lake,alaska,2012,5
lake,e1,north,5
lake,e5,north,5
lake,field,station,5
lake,n2,north,5
lake,research,watershed,5
lake,sediment,charcoal,5
laptev,sea,arctic,5
larch,forest,density,5
laurier,northeast,chukchi,5
low,arctic,ecosystem,5
macroinfaunal,samples,collected,5
makarov,basins,arctic,5
mat,site,ascii,5
mat,site,excel,5
merged,bottle,dataset,5
mile,lake,research,5
minimum,variance,distortionless,5
mountains,artifact,analysis,5
multiple,signal,classification,5
music,antenna,array,5
mvdr,antenna,array,5
n2,north,slope,5
network,aon,observations,5
nims,grid,lidar,5
nims,plot,photographs,5
niskin,bottle,data,5
nitrogen,yukon,kuskokwim,5
niwot,ridge,webber,5
north,american,glacier,5
oceans,c3o,project,5
palmer,cruise,nbp03,5
particle,size,distribution,5
patch,beaufort,sea,5
permafrost,experimental,heating,5
photogrammetry,august,2,5
polaris,project,2017,5
radar,etl,vertically,5
refuge,alaska,2015,5
research,watershed,carbon,5
resolution,timelapse,images,5
response,mvdr,antenna,5
river,basin,alaska,5
sadcp,data,beaufort,5
satellite,composite,imagery,5
sea,ice,gifs,5
sea,integrated,ecosystem,5
seasonal,water,table,5
seasons,control,plots,5
september,19,2013,5
september,21,2012,5
seward,peninsula,tree,5
ship,sir,wilfrid,5
signal,classification,music,5
site,community,data,5
site,mt,rodinka,5
site,species,data,5
slope,alaska,2013,5
soil,temperature,data,5
southeast,alaska,aerial,5
spectral,resolution,lidar,5
spectrometer,data,2012,5
st,paul,island,5
stable,isotope,data,5
station,alaska,2008,5
station,alaska,2010,5
station,greenland,january,5
station,greenland,july,5
strait,cruise,underway,5
strait,observational,array,5
taku,glacier,southeast,5
technology,jamstec,conductivity,5
technology,jamstec,shipboard,5
thaw,lake,basins,5
toolik,lake,field,5
toolik,lake,north,5
toolik,logger,data,5
traditional,knowledge,component,5
underway,data,aagaard,5
upper,kuparuk,river,5
variance,distortionless,response,5
video,plankton,recorder,5
visible,imagery,ncar,5
water,inflow,experiment,5
western,lake,water,5
wilfrid,laurier,northeast,5
yamal,peninsula,r5,5
yoyo,cast,analysis,5
01,benthic,station,4
01,raw,75,4
01,raw,seabeam,4
01,satellite,dmsp,4
01,sensor,calibration,4
01,terascan,dmsp,4
01,terascan,raw,4
02,01,adcp,4
02,01,benthic,4
02,03,adcp,4
02,03,benthic,4
02,adcp,data,4
02,mesozooplankton,grazing,4
03,01,adcp,4
03,03,adcp,4
03,bacterial,abundance,4
03,benthic,faunal,4
03,benthic,station,4
03,mesozooplankton,grazing,4
03,primary,production,4
03,satellite,dmsp,4
04,02,adcp,4
04,02,benthic,4
04,02,dissolved,4
04,03,adcp,4
04,03,benthic,4
04,03,dissolved,4
04,04,adcp,4
04,adcp,data,4
06,01,raw,4
07,01,terascan,4
09,01,terascan,4
09,02,raw,4
09,02,terascan,4
1,archive,community,4
1,imagery,ncar,4
1,spruce,forest,4
14,ascii,cutter,4
14,excel,cutter,4
152,west,2011,4
1971,roll,1,4
1972,roll,1,4
1975,roll,2,4
1975,roll,4,4
1975,roll,5,4
1984,roll,1,4
1988,roll,1,4
1990,roll,1,4
1990,roll,2,4
1991,roll,1,4
1991,roll,2,4
1991,roll,3,4
1991,roll,4,4
1992,roll,1,4
1992,roll,2,4
1992,roll,4,4
1992,roll,5,4
1994,roll,4,4
1994,roll,6,4
1995,roll,3,4
1996,roll,1,4
1997,roll,1,4
1997,roll,2,4
2,imagery,ncar,4
2013,ocean,optics,4
2014,ocean,optics,4
4,tiffs,fiducials,4
5,imagery,ncar,4
500mb,heights,gif,4
6,low,shrub,4
8,burned,tundra,4
92,14,ascii,4
92,14,excel,4
92,ar,ascii,4
92,ar,darby,4
92,ar,excel,4
acid,concentrations,disko,4
active,layer,thickness,4
adcp,data,ashjian,4
adcp,data,woodgate,4
aerial,photographs,1991,4
aerial,stereographic,flights,4
aerial,systems,uas,4
air,ground,temperature,4
alaska,2006,2019,4
alaska,2012,2016,4
alaska,usa,2019,4
america,annually,observed,4
america,continuously,observed,4
american,glaciers,1986,4
annual,peak,ndvi,4
annually,observed,ground,4
aos,94,cruise,4
archive,community,data,4
arctic,ocean,2006,4
arctic,ocean,2016,4
arctic,ocean,2018,4
arcticrims,daily,precipitation,4
arcticrims,daily,thaw,4
atmospheric,observatories,sheba,4
auks,alle,alle,4
autonomous,okrug,russian,4
barrow,buoy,data,4
barrow,ibp,plot,4
beaufort,sea,2009,4
bering,strait,5,4
bering,strait,6,4
bering,strait,7,4
biomarkers,ascii,benner,4
biophysical,mooring,data,4
biota,contaminants,trefry,4
bluffs,mnt,site,4
boulder,workshop,richness,4
bowfest,towed,acoustic,4
buoy,data,emaiksoun,4
burned,tundra,site,4
c3o,shipboard,acoustic,4
camp,preliminary,ice,4
cap,greenland,2014,4
carbon,dic,data,4
carbon,isotope,data,4
central,arctic,2005,4
central,arctic,2008,4
central,arctic,2012,4
central,arctic,2013,4
central,arctic,2015,4
channel,1,imagery,4
channel,2,imagery,4
channel,5,imagery,4
chlorophyll,measurements,bering,4
chukchi,integrated,study,4
chukchi,sea,environmental,4
cirque,ice,core,4
city,asfg,andreas,4
climate,data,shrub,4
climate,network,gc,4
clip,1,control,4
clip,2,control,4
clip,3,control,4
clip,4,control,4
coastal,plain,alaska,4
collaborative,research,spatial,4
concentrations,disko,island,4
continuously,observed,ground,4
control,1,community,4
control,2,community,4
control,3,community,4
control,4,community,4
core,chemistry,measurements,4
creek,alaska,2011,4
cross,site,comparison,4
cruise,hly,02,4
current,profilers,sadcp,4
dachi,yamal,peninsula,4
daily,thaw,depth,4
data,2013,ocean,4
data,2014,ocean,4
data,ascii,kadko,4
data,barrow,alaska,4
data,burned,tundra,4
data,core,kam12,4
data,core,lb,4
data,emaiksoun,lake,4
data,excel,bates,4
data,excel,kadko,4
data,heath,site,4
data,mat,site,4
data,mnt,site,4
data,moss,site,4
data,ncar,iss,4
data,nims,2013,4
data,nims,2014,4
data,shallow,lake,4
data,shull,uw,4
data,site,1,4
data,site,2,4
data,site,3,4
data,site,4,4
data,site,6,4
data,site,8,4
data,southern,chukchi,4
data,station,c3,4
data,station,met1,4
data,station,met2,4
data,tundra,site,4
dataset,2013,2016,4
dbo,ncis,northern,4
deadhorse,mnt,site,4
deep,arctic,ocean,4
delta,alaska,2016,4
depth,integrated,ocean,4
digital,elevation,models,4
disko,island,ice,4
dissertation,improvement,grant,4
dock,mnt,site,4
dominance,ascii,grebmeier,4
dominance,excel,grebmeier,4
dopper,current,profilers,4
drifting,buoy,data,4
driven,post,processed,4
dynamics,ascii,dunton,4
dynamics,excel,dunton,4
ecosystem,research,program,4
ecosystem,respiration,chamber,4
empty,snow,wind,4
empty,utqiagvik,ak,4
environmental,studies,program,4
eriophorum,vaginatum,reciprocal,4
excel,data,alatalo,4
excel,data,bret,4
federation,yamin,pasternak,4
fert,1,community,4
fert,2,community,4
firn,core,major,4
flux,data,oechel,4
flux,data,shrub,4
fluxes,excel,oberbauer,4
fog,particle,size,4
forecast,gif,ncar,4
forest,site,ascii,4
