word1,word2,n
03,0010,8
03,0013,8
03,0016,8
03,0018,8
03,0023,8
03,0024,8
03,0028,8
03,0030,8
03,0032,8
03,0038,8
04,0009,8
06,0014,8
06,0017,8
06,25,8
07,06,8
07,10,8
13,14,8
17,core10spurw,8
17,core13core14traverse,8
17,core8a,8
2011,csv,8
2012,csv,8
201209,swl,8
2013,winter,8
2014,reciprocal,8
2015,summer,8
2016,nc,8
20160326,sonic,8
20160327,sonic,8
20160328,sonic,8
20160329,sonic,8
20160330,sonic,8
20160331,sonic,8
20160401,sonic,8
20160402,sonic,8
20160403,sonic,8
20160404,sonic,8
20160405,sonic,8
20160406,sonic,8
20160407,sonic,8
20160408,sonic,8
20160409,sonic,8
20160410,sonic,8
20160411,sonic,8
20160412,sonic,8
20160413,sonic,8
20160414,sonic,8
20160415,sonic,8
20160416,sonic,8
20160417,sonic,8
20160418,sonic,8
20160419,sonic,8
20160420,sonic,8
20160421,sonic,8
20160422,sonic,8
20160423,sonic,8
20160424,sonic,8
20160425,sonic,8
20160426,sonic,8
20160427,sonic,8
20160428,sonic,8
20160429,sonic,8
20160430,sonic,8
20160501,sonic,8
20160502,sonic,8
20160503,sonic,8
20160504,sonic,8
20160505,sonic,8
20160506,sonic,8
20160507,sonic,8
20160509,sonic,8
20160510,sonic,8
20160511,sonic,8
20160512,sonic,8
20160513,sonic,8
20160514,sonic,8
2017,2019,8
2019,07,8
21,csv,8
23,17,8
25,17,8
26,17,8
3,cnv,8
30min,v3,8
5,23,8
5,25,8
5,26,8
5b,sbe56,8
6,9,8
badgeley,etal,8
ca,bis,8
ca,isa,8
ch4,csv,8
csv,2013,8
csv,fa16,8
diffdem.tif,peters,8
dimple,lake,8
do.csv,2015,8
e5,temperature.csv,8
e6,temperature.csv,8
etal,2020,8
fa16,4,8
fa16,6,8
format,dp.csv,8
golden,pond,8
greencabin,lake,8
horn,lake,8
ions.csv,2015,8
island,lake,8
itex,plant,8
lake,ice,8
light.csv,2015,8
lower,campsite,8
luna,lake,8
nc,cesm2,8
perched,lake,8
profiler,data,8
reciprocal,transplant,8
ru,bp,8
site,information,8
snc01,strdprctc,8
south,esq,8
toolik,temperature.csv,8
txt,ivotuk1998,8
unflag.txt,20160326,8
unflag.txt,20160327,8
unflag.txt,20160328,8
unflag.txt,20160329,8
unflag.txt,20160330,8
unflag.txt,20160331,8
unflag.txt,20160401,8
unflag.txt,20160402,8
unflag.txt,20160403,8
unflag.txt,20160404,8
unflag.txt,20160405,8
unflag.txt,20160406,8
unflag.txt,20160407,8
unflag.txt,20160408,8
unflag.txt,20160409,8
unflag.txt,20160410,8
unflag.txt,20160411,8
unflag.txt,20160412,8
unflag.txt,20160413,8
unflag.txt,20160414,8
unflag.txt,20160415,8
unflag.txt,20160416,8
unflag.txt,20160417,8
unflag.txt,20160418,8
unflag.txt,20160419,8
unflag.txt,20160420,8
unflag.txt,20160421,8
unflag.txt,20160422,8
unflag.txt,20160423,8
unflag.txt,20160424,8
unflag.txt,20160425,8
unflag.txt,20160426,8
unflag.txt,20160427,8
unflag.txt,20160428,8
unflag.txt,20160429,8
unflag.txt,20160430,8
unflag.txt,20160501,8
unflag.txt,20160502,8
unflag.txt,20160503,8
unflag.txt,20160504,8
unflag.txt,20160505,8
unflag.txt,20160506,8
unflag.txt,20160507,8
unflag.txt,20160509,8
unflag.txt,20160510,8
unflag.txt,20160511,8
unflag.txt,20160512,8
unflag.txt,20160513,8
upper,zev,8
uptempo,2015,8
ver1,tif,8
warm,buoy,8
wolverine,lake,8
002,2017,7
03,0001,7
03,0003,7
03,0004,7
03,0006,7
03,0007,7
03,0022,7
03,0027,7
03,0039,7
03,0043,7
06,0002,7
06,0015,7
06,20,7
07,csv,7
08,13,7
08,26,7
1,dcc,7
10,0001,7
10,0002,7
10,0003,7
10,0004,7
10,0005,7
10,0006,7
10,0009,7
10,0010,7
101,2015,7
13,2016,7
15,single.csv,7
17,core11spure,7
17,core12spurw,7
17,core15core16traverse,7
1991,csv,7
1992,2016,7
2,17,7
2014,summer,7
2016,09,7
2016,tutakoke,7
2018,09,7
2019,09,7
2019,9,7
2100,nc,7
27,17,7
2b,sbe56,7
3,csv,7
4b,sbe37,7
5,10,7
5,27,7
5,8,7
6,15,7
6,2,7
9,19,7
ans,tr2,7
atqasuk,detailed,7
bp,tr2,7
brw,calm,7
bs3,2014,7
ch,2044,7
climate,00,7
cnv,201209,7
coordinates,2015,7
csv,seedpredator,7
csv,tfs,7
ctd,www1002,7
ctd,www1003,7
ctd,www1102,7
data,csv,7
dbo3,csv,7
dcc,station,7
detailed,microclimate,7
e1,temperature.csv,7
final.txt,uptempo,7
flux,00,7
ice,regimes,7
icetemp.txt,hills,7
itex,thaw,7
m3f,sbe37,7
meltinfo.txt,ji,7
meltinfo.txt,zi,7
mn,01,7
monthly.nc,gen3ens,7
n2,temperature.csv,7
no3,cnv,7
orcutt,nh1,7
orcutt,sc1,7
plant,community,7
qc,snc01,7
qc.txt,m1,7
readme.txt,sonic,7
regimes,1992,7
skq201711s,wt1,7
spconductance.csv,2014,7
spconductance.csv,2015,7
summer,toolik,7
table,dbo3,7
thaw,v1,7
tsp,northamerica,7
txt,sum,7
unflag.txt,20160514,7
uptempo,2016,7
0008,09,6
03,0005,6
03,0020,6
03,0040,6
03,0041,6
03,0042,6
03,0049,6
03,0051,6
03,0052,6
03,0053,6
06,0008,6
06,0009,6
06,0019,6
06,2019,6
06,21,6
06,26,6
07,02,6
07,05,6
07,23,6
08,25,6
08nsidc.csv,ru,6
1,tif,6
10,0007,6
10,0011,6
10,0012,6
10,0013,6
10,0014,6
10,0018,6
10,0019,6
10,0020,6
10,0021,6
10,0022,6
10,0023,6
10,0024,6
10,0025,6
10,0026,6
10,0033,6
10,0044,6
10,0045,6
10,0046,6
10,0047,6
10,0049,6
10,0051,6
13,17,6
150705,n83,6
1523,csv,6
16,2019,6
17,13,6
17,core11spurw,6
17,core12core13traverse,6
17,core13spurw,6
17,core14core15traverse,6
17,core14spurw,6
17,core15spurw1,6
17,core16spurw,6
17,core7core8traverse,6
17,core7survey,6
17,core8c1,6
17,core8spure,6
17,core9spiral,6
17,csv,6
18,2019,6
19,2019,6
2,1,6
2006,nc,6
2012,234,6
2012,5p15,6
2013,csv,6
2013,firnair,6
2013,summer,6
2014,barrow,6
2015,2017,6
2015,barrow,6
2016,barrow,6
2016jschedlbauer,transplant,6
2017,2018,6
2017,barrow,6
2018,barrow,6
2019,08,6
2019,barrow,6
22nov2013,csv,6
26,0,6
27,2019,6
27,csv,6
31,17,6
45,0,6
5,31,6
5p15,nc,6
6,10,6
6,12,6
6,13,6
6,16,6
6,6,6
6,7,6
85,0,6
accumulation,rate,6
activelayer,data,6
alaska.csv,carlson,6
alexander,dengrad,6
aln,tr1,6
amundsen,final.dat,6
arctic,data,6
atq,misp,6
atqasuk,climate,6
bf009,cnv,6
bf013,cnv,6
bf017,cnv,6
bf021,cnv,6
brw,misp,6
ca,mob,6
calm,subset,6
climate,99,6
clpx,depth,6
cnv,station,6
csv,2017,6
csv,ecl,6
csv,hth,6
csv,u41,6
csv,u88,6
csv,us78,6
ctd,data,6
cyn,tr2,6
data,2016,6
data,center,6
dissoxy.csv,2015,6
dye,2,6
edge.tif,ru,6
elson,clean,6
eureka,canada,6
fa,15,6
flux,99,6
g3600m,v3a,6
g4500m,v3a,6
green.tif,ru,6
gris,g3600m,6
gris,g4500m,6
hh,1,6
hh,2,6
hv,depth,6
id,niso,6
id,sia,6
information,2015,6
l3,bro,6
lhs,samples,6
line07,nc,6
m.tif,clpx,6
n2,spconductance.csv,6
nasa,se,6
nc,data,6
nc,lhs,6
ndvi.tif,ru,6
niso,0,6
nmm3d,lut,6
nsidc.csv,mn,6
observatories,eureka,6
orcutt,l129,6
orcutt,l520,6
orcutt,manta,6
orcutt,sc2,6
peters,170428,6
po4,cnv,6
precipitation,scenario,6
rate,records,6
red,edge.tif,6
red.tif,ru,6
ru,aln,6
samples,gcm.csv,6
shakan,bay,6
sia,0,6
skq201711s,bc2,6
spconductance.csv,2013,6
subset,uas,6
summit,2013,6
txt,ak,6
uaf,101,6
uppercapsulelake,data,6
v1,aon.txt,6
v20171130,csv,6
v3,txt,6
xyz,shakan,6
0001,09,5
0002,09,5
0002,11,5
0002,16,5
0003,09,5
0008,08,5
0008,11,5
0009,10,5
0009,11,5
002,2015,5
005,2015,5
01,csv,5
03,0019,5
03,0021,5
03,0045,5
03,0054,5
03,2019,5
04,0012,5
04,0018,5
04,0019,5
05,2019,5
05,29,5
06,0012,5
06,0013,5
06,19,5
07,08,5
07,24,5
08,0021,5
08,16,5
08,28,5
09,10,5
09,21,5
1,1,5
10,0008,5
11,2019,5
12june,31aug,5
15,2019,5
1523,gapfilled,5
17,core10core11traverse,5
17,core9core10traverse2,5
17,jun,5
18,jun,5
2,csv,5
2,tif,5
20,csv,5
2005,2006,5
2009,nc,5
2010,2017,5
2012,barrow,5
2013,2017,5
2013,barrow,5
2014,06,5
2016,alaska.csv,5
2017,txt,5
2018,08,5
2044,csv,5
26,2016,5
26,2019,5
29,2019,5
31aug,v.txt,5
5,9,5
50cm.tif,peters,5
6,14,5
90roll3,csv,5
96,heath,5
adcp,bs3,5
alaska,2016,5
amf,ca,5
aon,ch,5
app,2011,5
asdn,bird,5
bf005,cnv,5
brwdoas,l3,5
bs3,2005,5
bzc,102,5
cadis.csv,u31,5
chukchi,clean,5
cnv,2012,5
csv,94,5
csv,copy,5
csv,u32,5
csv,us77,5
ctd,www1005,5
data,v2,5
dem,50cm,5
dem,50cm.tif,5
dissolved,gases,5
dissoxy.csv,2013,5
dissoxy.csv,2014,5
e1,spconductance.csv,5
eager,czimczik,5
ecl,isotopes,5
envirodata.csv,arcsees,5
ethaneacetylene,2ky.txt,5
gases,2012,5
keku,17,5
lake,dissolved,5
lake,physchem,5
lakefog2,data,5
leaf,length,5
m.tif,hv,5
mar.tif,fac10,5
mb,1979,5
microclimate,v1,5
miniflux,soda,5
nc,tas,5
nir.tif,ru,5
orcutt,l56,5
organic,carbon,5
physchem,2012,5
polaris,2017,5
prcp,1979,5
sbe37sm,pg16,5
seaice.dat,nmm3d,5
shakan,18,5
si,cnv,5
sizrs,final.dat,5
sizrs,final.txt,5
skq201711s,bc1,5
skq201711s,dbo4,5
skq201711s,wt2,5
slugtests.csv,fa16,5
snc04,strdprctc,5
snow,depth,5
soda,l1,5
soil,temperature,5
stratigraphy,profile.csv,5
suib,water,5
summer,e1,5
summer,n2,5
t2,1979,5
t3,t5,5
temperature.csv,2013,5
temperature.csv,2014,5
temperature.csv,2015,5
toolik,dissoxy.csv,5
toolik,spconductance.csv,5
tr1,fl008m,5
tr1,fl016m,5
tr1,fl020m,5
tr2,fl005m,5
tr2,fl013m,5
tr2,fl017m,5
water,column,5
water,level,5
0001,10,4
0002,08,4
0002,10,4
0002,13,4
0002,19,4
0003,08,4
0005,09,4
0006,08,4
0006,09,4
0007,08,4
0007,09,4
0007,10,4
0007,11,4
0008,10,4
0008,15,4
0009,08,4
0009,09,4
0009,12,4
0009,15,4
0013,12,4
0014,16,4
0015,11,4
0015,16,4
002,2016,4
005,2016,4
005,2017,4
01,2014,4
01,p0001,4
014,2015,4
02,2019,4
03,0044,4
03,0046,4
03,0048,4
03,0050,4
03,0055,4
03,0057,4
04,0001,4
04,0014,4
05,28,4
06,0018,4
06,07,4
06,16,4
07,18,4
07,2019,4
07,27,4
08,0003,4
08,0007,4
08,0008,4
08,0009,4
08,0015,4
08,0021a,4
08,18,4
08,24,4
08,27,4
09,27,4
1,arctic,4
1,bathy,4
103,2018,4
12,2019,4
12juneaug,v.txt,4
13,0002,4
17,core10spure,4
17,core13spure,4
17,core8c2,4
17,core8core9traverse,4
17,core9spurw,4
18,csv,4
1993,gapfilled,4
1b,sbe37,4
2000,txt,4
2001,txt,4
2003,nc,4
2004,nc,4
20072008,aon,4
2008,2009,4
2008,aon,4
201,2016,4
201,2017,4
201,2018,4
2010,00,4
2010,01,4
2010,csv,4
2011,aon,4
2013,07,4
2013,xyz,4
2016,summer,4
2018,10,4
2019,nc,4
2020,txt,4
2081,2100,4
22,2019,4
23,csv,4
24,17,4
25,2019,4
25,csv,4
28,2016,4
31,2019,4
31,dec,4
401,2016,4
5,15,4
5,16,4
5,24,4
5b,sbe37,4
6,8,4
71roll1,csv,4
72roll1,csv,4
84roll1,csv,4
88roll1,csv,4
90roll1,csv,4
90roll2,csv,4
91roll2,csv,4
91roll3,csv,4
91roll4,csv,4
92roll1,csv,4
92roll2,csv,4
92roll4,csv,4
92roll5,csv,4
94roll4,csv,4
94roll6,csv,4
95roll3,csv,4
96roll1,csv,4
97roll1,csv,4
97roll2,csv,4
a09,012,4
a09,013,4
a09,014,4
a09,026,4
a09,028,4
a09,031,4
a09,032,4
a09,033,4
a09,036,4
a09,039,4
a09,069,4
a09,093,4
a09,115,4
a10,038,4
a10,112,4
a10,116,4
a10,156,4
a10,164,4
a11,005,4
a11,010,4
a11,016,4
a11,025,4
acoustic,doppler,4
age,model.csv,4
ak,brw,4
alexander,exp,4
analysis,treeline,4
ann,temp,4
aon.txt,brwdoas,4
apr,12,4
aquifertest1,csv,4
aquifertest2,csv,4
atqasuk,misp,4
barrow,misp,4
bis,101,4
bis,102,4
blk,001,4
brw,101,4
brw,202,4
bs3,2008,4
buoy,wb,4
bzc,101,4
bzc,202,4
cadis.csv,u30,4
cadis.csv,u32,4
cadis.csv,u34,4
calm,activelayer,4
cdf,miniflux,4
cesm,le,4
cesm2,waccm,4
chs,101,4
chs,102,4
chukchi,cr1000,4
climate,98,4
climate,v1,4
coordinates,ctd,4
cpt,101,4
csv,2012,4
csv,2016jschedlbauer,4
csv,site,4
csv,summit,4
csv,us34,4
ctd,cns,4
ctd,cnsqc,4
current,profiler,4
daily.csv,isa,4
dat,petermanniceshelf,4
data,2017,4
data,files,4
data,mclane,4
data,microcat,4
data,personnel,4
data.csv,2007c,4
data.csv,2007g,4
data.csv,2008c,4
dbo,region,4
dbo6,csv,4
dec,2014,4
depth,103,4
dhs,101,4
dhs,103,4
dissolved,nitrogen,4
dissolved,organic,4
doppler,current,4
drp,eml,4
ecl,accumulation,4
esq,a1,4
esq,a2,4
exp,burn,4
fbf,101,4
fbf,102,4
fbf,301,4
fbf,302,4
flux,98,4
fluxes,simplified,4
fox,101,4
fv2,arctic,4
gkn,101,4
glk,101,4
glk,102,4
hly,001,4
hly,002,4
hrp,101,4
hrp,201,4
hrp,401,4
hvy,001,4
hvy,101,4
hvy,102,4
imn,001,4
intensive,2018,4
isa,101,4
isa,102,4
kap,metadata,4
ktk,001,4
kzr,001,4
length,phenology,4
lgd,101,4
lowertr1,txt,4
m1,1b,4
macroinfaunal,taxa.csv,4
magnetic,susceptibility.csv,4
mclane,moored,4
met,data.csv,4
metadata,2016,4
microcat,data,4
middletr1,txt,4
mirai,final.dat,4
misp,kap,4
moored,profiler,4
mooring,a.csv,4
mooring,b.csv,4
ms,ortho,4
n2,dissoxy.csv,4
nc,bcc,4
nc,cnrm,4
nc,dye,4
nc,noresm2,4
nc,saddle,4
nc,southdome,4
nc,summit,4
nc,thetao,4
nc,tunu,4
ndvi,ortho,4
nom,001,4
northamerica,continuous,4
o2ar,o2isotope,4
olm,101,4
ongoing,raw,4
orcutt,l280,4
orcutt,nh2,4
ortho,26904,4
ortho,26906,4
p0001,csv,4
peters,160419,4
phs,001,4
qc,snc02,4
qc,snc04,4
raw,data,4
report,age,4
report,core,4
report,magnetic,4
riparian,shrub,4
rmt,001,4
ru,12,4
sat,pr,4
sf009,cnv,4
sf014,cnv,4
shakan2m,1,4
shakan2m,2,4
shakan2m,3,4
site,metadata,4
skq201711s,bhs,4
sml,101,4
sml,201,4
sml,301,4
sml,401,4
snc02,strdprctc,4
snc03,strdprctc,4
soil,analysis,4
soiltemp,data,4
species,macroinfaunal,4
sppdata.csv,arcsees,4
st12,txt,4
station,coordinates,4
station,locations,4
strainrate,2011,4
strdprctc,skq201612s,4
summer,e5,4
summer,e6,4
surface,underway,4
swk,003,4
table,dbo6,4
table1,csv,4
thaw,depth,4
tkhydrodatabase,31,4
tlk,001,4
toolik,misp,4
tooliklake,data,4
total,dissolved,4
uas,ms,4
uas,ndvi,4
uff,102,4
underway,data,4
uppertr1,txt,4
uptempo,2017,4
v.txt,ben,4
v.txt,bes,4
viper,td,4
waccm,clm40,4
wdk,101,4
wdk,102,4
wdk,103,4
weintraub,soil,4
www1202,bf021,4
wx2,chukchi,4
xtf,shakan,4
yukon,2018,4
00,xtf,3
0001,12,3
0001,13,3
0002,12,3
0003,10,3
0003,11,3
0004,09,3
0005,10,3
0005,11,3
0005,12,3
0006,10,3
0006,11,3
0006,12,3
0006,13,3
0006,15,3
0007,12,3
0008,12,3
0008,13,3
0008,16,3
0009,13,3
0009,16,3
0010,08,3
0011,08,3
0011,10,3
0012,10,3
0012,12,3
0012,16,3
0013,10,3
0013,11,3
0013,16,3
0015,08,3
0016,15,3
0017,09,3
0017,10,3
0018,10,3
0018,11,3
0018,12,3
0018,13,3
0019,13,3
0019,15,3
0019,16,3
002,2018,3
0020,11,3
0020,12,3
0020,13,3
0020,15,3
0021,09,3
0021,10,3
0021,11,3
0021,12,3
0022,10,3
0022,16,3
0023,10,3
0025,10,3
003,2015,3
003,2016,3
003,2017,3
0035,08,3
0036,08,3
0037,08,3
004,2015,3
004,2016,3
0042,10,3
0044,10,3
0044,11,3
0045,10,3
0045,11,3
0045,12,3
0046,11,3
0046,12,3
0047,11,3
0049,10,3
0049,11,3
0049,12,3
0051,10,3
0051,11,3
0051,12,3
01,01,3
01,xtf,3
010,2015,3
012,2015,3
013,2015,3
014,2016,3
03,0033,3
03,0056,3
04,0015,3
04,0016,3
04,0017,3
04,2019,3
05,30,3
06,0020,3
06,0022,3
06,06,3
06,18,3
06,27,3
06,28,3
06,csv,3
07,04,3
07,07,3
07,13,3
07,14,3
07,16,3
07,29,3
07,31,3
08,0017,3
08,02,3
08,2019,3
08,23,3
09,2019,3
09,daily.csv,3
09,nsidc.csv,3
1,17,3
1,dat,3
10,0053,3
11,17,3
12,16,3
120216,csv,3
125,csv,3
13,0003,3
13,0015,3
15,1,3
15,2,3
16,13,3
17,core10spiral,3
17,core11core12traverse,3
17,core11spiral,3
17,core12spure,3
17,core15spiral,3
17,core16spiral,3
17,core16summittraverse2,3
17,core8spurw,3
17,core9core10traverse1,3
17,core9spure,3
19,17,3
1991,gapfilled,3
2000,2012,3
2002,2003,3
2003,2004,3
2007,federov,3
2008,12june,3
2009,069,3
2009,093,3
2009,115,3
2009,aon,3
2009,txt,3
201,2015,3
2010,038,3
2010,aon,3
2012,2017,3
2012,aon,3
2012amkspiderwarmingexperiment,data,3
2013,aon,3
20141231,csv,3
2015,01,3
2015,co2,3
2015,ic,3
20151231,csv,3
2016,ic,3
2016,mooring,3
2016,sapflow,3
2016,txt,3
2016,xlsx,3
20160408,csv,3
20161231,csv,3
2017,mooring,3
2017,xlsx,3
2019,txt,3
202,2015,3
202,2016,3
202,2017,3
21,2017,3
21,2019,3
22,17,3
23,2019,3
24,2019,3
25,2016,3
27,2017,3
29,daily.csv,3
3,17,3
30,2019,3
30,csv,3
4,cnv,3
401,2017,3
401,2018,3
5,12,3
5,22,3
5,cnv,3
5,csv,3
6,1,3
6,19,3
6,3,3
6,cnv,3
6,csv,3
63,125,3
7,cnv,3
70roll1,csv,3
70roll2,csv,3
71roll3,csv,3
72roll2,csv,3
72roll4,csv,3
73roll1,csv,3
73roll2,csv,3
73roll3,csv,3
74roll1,csv,3
74roll2,csv,3
74roll3,csv,3
74roll4,csv,3
74roll5,csv,3
75roll1,csv,3
75roll3,csv,3
76roll1,csv,3
77roll1,csv,3
77roll2,csv,3
77roll3,csv,3
77roll4,csv,3
77roll5,csv,3
77roll6,csv,3
78roll1,csv,3
78roll2,csv,3
78roll3,csv,3
78roll4,csv,3
78roll5,csv,3
79roll1,csv,3
79roll2,csv,3
79roll3,csv,3
79roll4,csv,3
79roll5,csv,3
79roll6,csv,3
8,cnv,3
80roll1,csv,3
80roll2,csv,3
80roll3,csv,3
81roll1,csv,3
81roll2,csv,3
86roll1,csv,3
87roll1,csv,3
92roll3,csv,3
93roll1,csv,3
93roll3,csv,3
93roll4,csv,3
94roll1,csv,3
94roll2,csv,3
94roll3,csv,3
94roll5,csv,3
95roll1,csv,3
95roll2,csv,3
a09,075,3
a1.20110101.000000,cdf,3
a1.20120101.000000,cdf,3
a10,135,3
a10,192,3
ak,atq,3
alex,fiord,3
alexander,expburn,3
allleaves,csv,3
aon,cmp,3
