token,n,unique_ids,unique_authors
averages,46,46,3
epstein,46,46,3
information,46,46,12
aerosol,45,44,11
dynamics,45,45,30
format,45,45,12
imagery,45,45,16
itex,45,45,9
reflectance,45,45,8
seas,45,45,17
summer,45,40,26
1996,44,44,10
2002,44,44,26
clip,44,44,1
davis,44,44,3
fluxes,44,44,28
grebmeier,44,44,3
hinzman,44,44,2
precipitation,44,44,21
array,43,43,10
distribution,43,43,23
preliminary,43,43,13
august,42,41,18
benthic,42,34,7
discharge,42,42,19
nutrient,42,42,24
species,42,42,22
alatalo,41,41,1
eddy,41,41,6
integrated,41,41,21
international,41,38,14
melt,41,40,17
ndvi,41,41,12
zooplankton,41,41,21
forest,40,36,16
hydrographic,40,40,19
shrub,40,40,15
census,39,39,3
ii,39,39,5
profiles,39,39,24
rates,39,39,19
specific,39,39,5
spectral,39,39,11
07,38,35,13
1994,38,38,13
6,38,38,13
nabos,38,38,1
ncep,38,36,5
watershed,38,38,23
webber,38,38,1
basin,37,37,29
conductance,37,37,5
cover,37,37,22
interior,37,37,9
june,37,37,14
linnévatnet,37,37,13
physical,37,37,28
siberian,37,37,16
whoi,37,37,4
island,36,36,25
linnébreen,36,36,9
log,36,36,4
methane,36,35,25
observatories,36,36,6
resolution,36,36,19
season,36,34,14
composition,35,35,27
dataset,35,35,21
radiation,35,35,16
test,35,35,10
winter,35,35,20
12,34,34,12
average,34,34,7
chlorophyll,34,34,11
density,34,34,24
deployment,34,34,3
effects,34,34,15
isotopes,34,34,26
level,34,34,18
northwest,34,34,10
pressure,34,34,20
production,34,34,18
program,34,34,18
reanalysis,34,34,9
samples,34,34,12
science,34,34,18
1979,33,33,14
1992,33,33,10
7,33,32,8
biological,33,33,12
chemical,33,33,32
firn,33,30,19
fjord,33,32,17
holocene,33,33,24
october,33,33,6
peninsula,33,33,18
regions,33,33,9
tree,33,32,10
14,32,32,10
1998,32,32,19
a3,32,32,1
al,32,32,13
co2,32,31,19
meteorological,32,32,17
min,32,32,4
particulate,32,23,10
sambrotto,32,32,1
spring,32,31,25
ak,31,31,14
ccgs,31,31,7
cores,31,31,25
csasn,31,31,3
dopper,31,31,4
term,31,31,18
yukon,31,26,13
bottle,30,30,11
fire,30,30,12
global,30,30,24
iii,30,30,6
population,30,30,4
9,29,28,6
alaskan,29,29,24
diffraction,29,29,3
kite,29,29,4
mnt,29,29,5
output,29,29,15
shipboard,29,29,4
snowfence,29,29,4
stable,29,29,25
1993,28,28,10
delta,28,23,10
electron,28,28,2
harvey,28,28,1
images,28,28,15
muenchow,28,28,1
pam,28,28,5
sadcp,28,28,4
southern,28,28,12
8,27,27,8
geochemistry,27,27,13
parameters,27,27,10
polycrystalline,27,27,1
rate,27,27,7
ring,27,27,7
scale,27,27,13
upper,27,27,20
uvsimn,27,27,1
18,26,26,9
based,26,26,23
control,26,26,7
growth,26,25,12
kuparuk,26,26,17
specimen,26,26,1
summary,26,23,12
variability,26,26,21
1997,25,25,13
a2,25,25,1
acid,25,23,7
bay,25,25,19
c3o,25,25,4
channel,25,25,8
coastal,25,25,18
concentration,25,25,19
fiducials,25,25,1
microbial,25,24,20
navigation,25,25,5
oceans,25,25,4
p1,25,20,3
remote,25,25,10
report,25,25,15
sensing,25,25,10
stream,25,25,13
synthetic,25,25,3
territories,25,25,2
15,24,24,9
1999,24,24,18
2001,24,24,21
21,24,24,5
a4,24,24,1
andreas,24,24,1
boreal,24,24,15
borehole,24,24,15
dbo,24,20,4
distributed,24,24,8
expedition,24,24,9
graph,24,24,2
lai,24,24,3
logger,24,24,4
low,24,24,10
mesozooplankton,24,24,5
norway,24,24,24
pacific,24,24,15
russian,24,24,11
service,24,21,8
simulations,24,24,10
table,24,24,10
thickness,24,23,17
wind,24,24,8
11,23,23,9
19,23,23,6
1977,23,23,5
administrative,23,23,1
aggregated,23,23,1
aperture,23,23,2
archipelago,23,23,4
avhrr,23,23,11
functional,23,23,7
gas,23,23,16
hill,23,23,7
index,23,22,12
microphysical,23,23,3
pan,23,23,17
phenology,23,23,14
region,23,23,19
romanovsky,23,23,1
sonar,23,23,6
transect,23,23,12
1991,22,22,6
30,22,22,6
echogram,22,22,1
gradient,22,22,11
northeastern,22,22,9
processes,22,22,20
radiometer,22,22,8
response,22,22,16
terascan,22,22,4
1975,21,21,3
antenna,21,21,1
bottom,21,21,11
buoys,21,21,9
calon,21,21,6
conditions,21,20,12
energy,21,20,15
impact,21,20,14
leaf,21,19,11
moist,21,21,11
st,21,21,10
version2,21,21,1
1974,20,20,4
23,20,20,6
92,20,20,3
aon,20,20,9
bates,20,20,2
c3,20,20,2
experimental,20,20,11
files,20,20,8
grazing,20,20,5
hydrology,20,20,13
impacts,20,20,16
kuskokwim,20,15,5
lipid,20,20,3
mat,20,20,5
measured,20,20,12
minute,20,20,10
occurrence,20,20,2
quality,20,20,8
reindeer,20,20,4
respiration,20,20,11
taimyr,20,19,2
welker,20,20,1
1980,19,19,9
27,19,19,6
annual,19,19,12
basins,19,19,8
canada's,19,19,3
derived,19,19,16
development,19,16,14
focused,19,19,1
ibp,19,19,1
merged,19,19,3
microwave,19,19,7
microzooplankton,19,19,4
noaa,19,19,8
northeast,19,19,12
oil,19,17,12
peatland,19,19,7
sagwon,19,19,5
sbi,19,19,6
sediments,19,19,12
sheba,19,19,11
size,19,19,11
studies,19,19,15
surveys,19,19,14
thule,19,19,15
uscg,19,19,2
utqiagvik,19,19,8
woodgate,19,19,2
workshop,19,19,10
13,18,18,7
24,18,18,6
boulder,18,17,5
column,18,18,12
dmsp,18,18,4
ek80,18,18,1
exchange,18,18,12
frozen,18,18,9
glacial,18,18,16
industry,18,18,11
ion,18,18,5
ipy,18,18,15
islands,18,13,12
late,18,18,13
major,18,18,6
margin,18,18,4
mesonet,18,18,2
observation,18,18,16
peat,18,18,6
photo,18,18,6
photos,18,18,7
pole,18,18,8
property,18,18,2
reported,18,18,2
spatial,18,18,14
sturm,18,18,2
tussock,18,18,8
type,18,18,3
velocity,18,18,15
1978,17,17,2
22,17,17,5
25,17,17,6
event,17,17,5
faunal,17,17,2
final,17,17,8
gps,17,17,11
grids,17,17,4
height,17,16,3
history,17,17,15
itp,17,17,1
jarvis,17,16,7
land,17,17,12
matter,17,17,11
nitrate,17,17,16
nutrients,17,17,11
structure,17,17,12
thermal,17,17,7
thermokarst,17,17,15
whale,17,17,7
wtd,17,17,4
06,16,16,4
1970,16,16,7
aboard,16,16,4
acidic,16,14,8
america,16,16,4
detection,16,16,5
ecosystems,16,16,14
elevation,16,16,12
environment,16,16,10
fen,16,16,6
isotopic,16,16,12
kolyma,16,16,2
lloyd,16,16,1
national,16,16,12
phytoplankton,16,16,11
regional,16,16,11
ridge,16,16,5
salinity,16,16,14
sample,16,16,6
sbe,16,16,2
soils,16,16,14
swerus,16,16,1
1976,15,15,7
1981,15,15,3
2020,15,15,9
ahlquist,15,15,1
analyses,15,15,8
ar,15,15,4
bacterial,15,15,7
base,15,15,4
bowhead,15,15,6
communities,15,15,13
database,15,15,12
deployed,15,15,5
distributions,15,15,7
earth,15,15,8
ecology,15,15,10
eureka,15,15,4
framing,15,15,1
historical,15,15,12
humidity,15,15,3
locations,15,15,11
matlab,15,15,7
millimeter,15,15,2
moritz,15,15,2
optics,15,15,3
petermann,15,15,7
primary,15,14,7
radiance,15,15,3
range,15,15,7
ratio,15,15,9
record,15,15,9
sampling,15,15,9
seward,15,15,10
soundings,15,15,7
tn249,15,15,7
understanding,15,15,15
uw,15,13,5
1972,14,14,4
28,14,14,4
agashashok,14,14,3
albedo,14,14,10
black,14,14,7
burned,14,14,3
characteristics,14,14,11
controls,14,14,9
dioxide,14,13,11
doppler,14,14,7
drift,14,14,6
emitted,14,14,2
heat,14,14,8
inorganic,14,14,7
interferometer,14,14,2
jia,14,14,1
larch,14,14,7
mammal,14,14,5
meas,14,14,1
modeling,14,14,12
moored,14,14,5
moorings,14,14,7
multiple,14,14,7
oasis,14,14,13
oberbauer,14,14,1
observational,14,14,7
oceanographic,14,14,11
pit,14,14,5
position,14,14,11
psea,14,14,7
seabeam,14,14,5
seasons,14,14,8
situ,14,14,12
sonic,14,14,3
spitsbergen,14,14,11
spruce,14,14,5
subsistence,14,14,11
synthesis,14,14,13
systems,14,14,7
taku,14,14,5
valley,14,14,8
whp,14,14,3
20,13,13,2
26,13,13,3
31,13,13,5
accumulation,13,13,10
b62,13,13,2
brightness,13,13,3
campbell,13,13,2
cap,13,13,5
columbia,13,13,3
content,13,12,9
continuous,13,13,8
copass,13,13,1
datalogger,13,13,1
deep,13,13,9
digital,13,13,10
doc,13,13,4
dunton,13,13,1
estimates,13,13,11
eurasian,13,13,4
fatty,13,10,6
flagg,13,13,1
forefield,13,13,1
future,13,13,12
implications,13,13,12
interactions,13,13,10
iss,13,13,2
jamstec,13,12,5
jaz,13,13,2
lagoon,13,13,4
laurent,13,13,3
light,13,13,10
liston,13,13,2
louis,13,13,3
methanesulfonic,13,13,1
monthly,13,13,8
moss,13,13,6
net,13,12,9
nome,13,12,2
poc,13,13,3
ponds,13,13,3
records,13,13,13
riedel,13,13,1
rivers,13,13,10
snowpack,13,13,6
spectrometer,13,13,2
spectroradiometer,13,13,2
suspended,13,13,8
swl,13,13,1
terrestrial,13,13,10
track,13,13,6
waters,13,13,10
04a,12,12,4
1973,12,12,3
1986,12,12,6
1988,12,12,6
234,12,12,1
ameriflux,12,12,7
biogeochemical,12,12,11
burn,12,12,7
ceilometer,12,12,1
crrel,12,12,8
csv,12,12,2
depths,12,12,9
difference,12,12,8
driven,12,12,5
ensemble,12,12,2
fahnestock,12,12,1
function,12,12,9
geochemical,12,12,11
hansell,12,12,2
infrared,12,12,8
intensive,12,12,11
kamchatka,12,9,5
kn195,12,12,3
knowledge,12,12,12
landscape,12,12,9
micropulse,12,12,1
mpl,12,12,1
nbp03,12,12,4
nearshore,12,11,7
normalized,12,12,8
npeo,12,12,6
nunavut,12,12,8
observed,12,12,5
oechel,12,10,2
patch,12,11,7
polarization,12,12,1
prudhoe,12,12,6
radiosonde,12,12,1
ranging,12,12,1
sky,12,12,2
sodar,12,12,1
technology,12,12,5
tower,12,12,4
transport,12,12,12
turbulent,12,12,3
vaginatum,12,12,5
values,12,12,7
vessel,12,12,6
wilfred,12,12,3
wrf,12,12,2
152,11,11,4
1984,11,11,7
2100,11,11,7
29,11,11,2
37,11,11,3
agency,11,11,4
aircraft,11,11,7
arcmip,11,7,4
atmosphere,11,11,9
calibration,11,11,6
characterization,11,11,10
circumarctic,11,11,6
classification,11,11,7
contribution,11,11,4
delay,11,11,1
dem,11,11,8
era,11,11,5
eriophorum,11,11,4
etl,11,11,4
evidence,11,11,9
forecasting,11,11,1
holmgren,11,11,1
i8,11,11,1
inlet,11,11,1
japan,11,11,4
kadko,11,11,1
measurement,11,11,5
microclimate,11,11,6
multi,11,11,10
n2,11,11,5
ongoing,11,11,3
outlet,11,11,7
penetrating,11,11,8
perovich,11,11,2
plain,11,11,7
quantitative,11,11,7
root,11,11,9
seawater,11,11,5
south,11,11,9
sum,11,11,1
temp,11,11,3
thorium,11,11,2
throughflow,11,11,1
tidewater,11,11,11
tracers,11,11,4
trap,11,11,6
trefry,11,11,1
uranium,11,11,2
usa,11,11,8
1987,10,10,4
3007,10,8,1
anaktuvuk,10,10,4
atlantic,10,10,5
baffin,10,10,9
bears,10,10,2
broad,10,10,4
cast,10,10,4
chamber,10,10,6
changing,10,10,8
cycling,10,10,9
darby,10,10,1
dry,10,10,5
e5,10,10,4
echograms,10,10,1
forage,10,10,2
gridded,10,10,6
happy,10,10,4
hly1104,10,10,4
hour,10,10,3
iabp,10,10,4
indigenous,10,10,8
influences,10,10,9
investigation,10,10,8
kirchman,10,10,1
kougarok,10,10,2
kronebreen,10,10,10
laptev,10,10,4
lter,10,8,6
makarov,10,10,2
mapping,10,10,8
mile,10,10,5
modern,10,10,10
mountains,10,10,9
nsf,10,10,7
optical,10,10,8
particle,10,8,5
performance,10,10,5
pigment,10,10,5
plants,10,10,8
polaris,10,10,2
pore,10,10,9
radiocarbon,10,10,9
results,10,10,6
scs,10,10,4
sedimentation,10,9,9
set,10,10,7
snacs,10,10,6
sounder,10,10,5
source,10,10,8
southeast,10,10,5
trace,10,10,9
viper,10,10,3
zone,10,10,8
320b,9,9,4
ablation,9,9,9
archive,9,9,6
arm,9,6,1
assessing,9,9,9
basal,9,9,7
bin,9,5,1
biocomplexity,9,9,8
biogeochemistry,9,9,6
boundary,9,9,8
box,9,9,2
brw,9,9,2
chukotka,9,6,1
climatic,9,9,8
comparison,9,9,6
description,9,9,2
disko,9,9,5
dissipation,9,9,1
drilling,9,9,8
edge,9,9,2
elog,9,9,4
fe,9,9,4
flight,9,9,2
flow,9,9,7
iceland,9,9,8
imnaviat,9,9,4
khz,9,9,4
knudsen,9,9,4
kongsvegen,9,9,9
labrador,9,9,6
landfast,9,9,7
leconte,9,7,1
link,9,9,4
local,9,9,9
map,9,9,6
melting,9,8,5
models,9,9,7
molau,9,9,1
papp,9,9,1
park,9,9,3
peters,9,9,5
phytomass,9,9,1
plateau,9,8,1
pleistocene,9,9,3
post,9,9,5
proglacial,9,9,9
rapid,9,9,5
rapids,9,9,2
reciprocal,9,9,3
refuge,9,9,5
salix,9,9,6
sar,9,9,5
shaver,9,9,1
sources,9,9,9
subglacial,9,9,5
summaries,9,9,2
transplant,9,9,3
uptempo,9,9,2
uttal,9,9,3
vapor,9,9,8
vertical,9,9,7
watch,9,9,3
wildlife,9,9,5
1969,8,8,3
1971,8,8,1
1km,8,8,1
a2w,8,8,1
acids,8,8,6
alle,8,4,2
archaeological,8,8,6
automated,8,8,7
averaged,8,8,4
baid,8,8,4
bret,8,8,1
ch4,8,7,6
cherskii,8,8,2
chromatography,8,8,4
cns,8,8,1
coldfoot,8,8,2
compilation,8,8,4
component,8,8,8
continuing,8,8,3
dissertation,8,8,7
doctoral,8,8,7
dominance,8,8,1
drained,8,8,6
e1,8,8,2
e6,8,8,2
effect,8,8,6
empty,8,4,1
euphausiid,8,8,2
factors,8,8,3
feeding,8,8,3
fert,8,8,1
fog,8,6,3
generation,8,8,3
genetics,8,8,3
gradinger,8,8,2
growing,8,6,5
harte,8,8,1
heating,8,8,4
heights,8,8,4
hrpt,8,8,4
hydrogen,8,8,7
identification,8,8,3
irradiance,8,8,4
km,8,8,3
kongsfjorden,8,8,8
location,8,8,3
manitoba,8,8,2
meltwater,8,8,5
met,8,8,3
meteorology,8,8,6
microphysics,8,8,3
microtopographic,8,8,1
millennium,8,8,3
morison,8,8,2
native,8,7,6
neem,8,8,6
niwot,8,8,2
pacmars,8,8,1
posmv,8,8,4
products,8,8,7
psc,8,8,2
quantifying,8,8,8
ratios,8,8,6
seabird,8,8,5
sherr,8,7,1
simulated,8,8,8
stations,8,8,4
subarctic,8,8,3
switchyard,8,8,7
tf,8,8,1
timelapse,8,8,2
traditional,8,8,8
traffic,8,8,3
transects,8,8,8
uaf,8,5,2
video,8,8,5
warm,8,8,4
weekly,8,8,4
winds,8,8,4
14c,7,7,5
1982,7,7,5
1985,7,7,7
2071,7,7,1
40,7,7,3
75,7,7,5
age,7,7,7
ais,7,7,2
antarctica,7,7,5
aquatic,7,7,6
aquifer,7,7,5
arcveg,7,7,1
assessments,7,7,2
auks,7,7,2
automatic,7,7,2
aws,7,7,4
baseline,7,7,2
boreholes,7,7,3
bowfest,7,7,2
budgets,7,7,6
c2,7,7,2
calanus,7,6,3
calef,7,7,1
canopy,7,7,5
cesm,7,7,2
chaoz,7,7,1
charcoal,7,7,4
christensen,7,7,2
circulation,7,7,6
contaminants,7,7,1
coring,7,7,5
counts,7,7,6
coupled,7,7,6
ct,7,6,3
deformation,7,7,7
deposition,7,7,6
drainage,7,7,6
equivalent,7,7,6
european,7,7,2
events,7,7,5
fairall,7,7,1
fields,7,7,6
fish,7,7,5
food,7,7,5
forcing,7,7,5
forecast,7,7,1
freshwater,7,7,6
gardens,7,7,3
geophysical,7,7,6
grain,7,7,5
guest,7,7,1
highway,7,7,5
hly1101,7,7,3
human,7,7,6
individual,7,7,7
influence,7,7,7
interpolated,7,7,5
inupiat,7,7,4
latitude,7,7,6
layering,7,7,1
linné,7,7,7
liquid,7,7,3
lower,7,7,7
macroinfaunal,7,7,1
manipulation,7,7,4
maps,7,7,5
maritime,7,7,2
mcguire,7,7,3
mineral,7,7,5
minimum,7,7,3
mrf,7,7,1
mt,7,7,2
netcdf,7,7,5
offshore,7,7,7
ols,7,7,1
oumalik,7,7,1
parameter,7,7,2
past,7,7,7
period,7,7,1
persson,7,7,1
ph,7,7,4
plankton,7,7,4
pollen,7,7,7
pollock,7,7,5
pon,7,7,2
pond,7,7,4
processed,7,7,4
programme,7,7,1
quaternary,7,7,5
ray,7,7,5
reconstructions,7,6,6
responses,7,7,7
seasonality,7,7,6
selected,7,7,7
shallow,7,7,4
shipping,7,7,2
solar,7,6,4
spectra,7,7,4
temporal,7,7,7
transpolar,7,7,1
traverse,7,7,5
treeline,7,7,2
univ,7,7,1
wet,7,7,5
whaling,7,7,4
widths,7,7,2
yamal,7,7,2
0000,6,6,2
05may12,6,6,1
12apr08,6,6,1
13apr13,6,6,1
1951,6,6,5
1968,6,6,1
238,6,6,1
500mb,6,6,2
56,6,6,3
a4w,6,6,1
aagaard,6,6,1
ages,6,6,5
airborne,6,6,4
algal,6,6,4
alpha,6,6,2
atlas,6,6,5
ba,6,6,1
bacteria,6,6,4
benner,6,6,1
beringia,6,6,4
biomarkers,6,6,1
blanchard,6,6,1
bluff,6,6,2
board,6,6,2
budget,6,6,5
ca,6,6,5
cape,6,6,3
clouds,6,6,5
composite,6,6,2
consequences,6,6,4
corrected,6,6,3
dalton,6,6,4
desert,6,6,1
dic,6,6,1
dillingham,6,5,1
dock,6,6,2
domain,6,6,4
drying,6,6,4
dynamic,6,6,6
eco,6,6,2
elemental,6,6,4
erosion,6,6,5
esu,6,6,1
features,6,6,5
fisheries,6,6,5
foraging,6,6,5
forests,6,6,5
formation,6,6,6
frost,6,6,6
genetic,6,6,3
guv,6,6,1
h2o,6,6,2
heath,6,6,3
helix,6,6,2
hornsund,6,6,1
hplc,6,6,2
icescape,6,6,2
inflow,6,6,2
info,6,6,2
itkillik,6,6,3
leads,6,6,3
mammals,6,6,4
mb,6,6,1
mccall,6,6,3
mcphee,6,6,1
metadata,6,6,5
modeled,6,6,6
modis,6,6,5
motion,6,6,4
n.r,6,6,1
niskin,6,6,1
o2,6,5,5
oceanography,6,6,5
otuk,6,6,2
oxide,6,6,4
paludified,6,6,2
pco2,6,6,2
peak,6,6,3
pn,6,6,1
probe,6,6,2
profile,6,6,5
profilers,6,6,4
radarsat,6,6,3
recent,6,6,6
reconstructing,6,6,5
reconstruction,6,6,6
recorder,6,6,3
related,6,6,4
resources,6,6,5
runoff,6,6,6
seal,6,6,5
seismic,6,6,4
settlement,6,6,4
severity,6,6,3
shifts,6,6,6
sicsp,6,6,6
sound,6,6,4
space,6,6,5
subset,6,6,2
tem,6,6,4
terrain,6,6,2
tn250,6,6,3
towed,6,6,3
transition,6,6,6
tropospheric,6,6,3
uic13,6,6,2
understory,6,6,4
university,6,6,6
unmanned,6,6,3
uptake,6,6,5
variations,6,6,6
vertically,6,6,2
visibility,6,6,1
visible,6,6,2
weingartner,6,6,2
white,6,6,2
wisconsin,6,6,2
wolstenholme,6,6,1
woodland,6,6,2
woody,6,6,3
yoyo,6,6,2
"01,03",5,5,2
1200,5,5,1
130,5,5,1
1700,5,5,1
1800,5,5,2
1964,5,5,3
1967,5,5,1
2080,5,5,1
21apr11,5,5,1
2300,5,5,1
aboveground,5,5,2
activity,5,5,4
adjacent,5,5,5
aging,5,5,1
aleutian,5,5,5
ancillary,5,5,2
annually,5,5,2
antarctic,5,5,5
approach,5,5,4
artifact,5,5,5
asfg,5,5,1
assessment,5,5,4
atwain,5,5,1
b67,5,5,4
bathymetry,5,5,4
beryllium,5,5,4
betula,5,5,4
biophysical,5,5,2
brooks,5,5,4
canada’s,5,5,1
carex,5,5,2
caribou,5,5,5
casts,5,5,4
chamberlin,5,5,5
chronological,5,5,3
comida,5,5,4
common,5,5,3
compositions,5,5,3
coordination,5,5,3
cross,5,5,2
cruises,5,5,4
cryptoendolithic,5,5,1
curry,5,5,2
dates,5,5,5
dbo4,5,5,2
deadhorse,5,5,2
developing,5,5,4
distortionless,5,5,1
diversity,5,5,4
drifting,5,5,5
eclipse,5,5,2
eemian,5,5,3
emaiksoun,5,5,2
emissions,5,5,5
enhancement,5,5,3
expansion,5,5,5
export,5,5,3
flights,5,5,3
form,5,5,2
franklin,5,5,2
gifs,5,5,1
grenfell,5,5,2
hly1001,5,5,3
hly1203,5,5,3
hly1402,5,5,2
hly1702,5,5,2
hydrologic,5,5,5
hydrological,5,5,5
icefield,5,5,2
improvement,5,5,4
instruments,5,5,3
interaction,5,5,3
interannual,5,5,3
intrieri,5,5,2
ioeb,5,5,2
jago,5,5,2
jpg,5,5,3
kilometer,5,5,4
laboratory,5,5,4
language,5,5,3
lena,5,5,2
length,5,5,3
lgm,5,5,2
lipofuscin,5,5,1
litter,5,4,4
loss,5,5,3
macrobenthic,5,5,1
magnetic,5,5,5
magnusson,5,5,1
management,5,5,3
mar,5,5,2
maximum,5,5,5
mechanisms,5,5,5
menge,5,5,3
microstructure,5,5,3
mmp,5,5,1
music,5,5,1
mvdr,5,5,1
nana,5,5,4
narrow,5,5,2
nathaniel,5,5,2
natural,5,5,5
nature,5,5,5
northwestern,5,5,3
nutritional,5,5,3
nuussuaq,5,5,3
oct,5,3,1
otc,5,5,2
ozone,5,5,4
paleo,5,5,3
palmer,5,5,2
path,5,5,3
pathfinder,5,5,5
paul,5,5,4
photogrammetry,5,5,1
photosynthesis,5,5,5
porewater,5,5,4
positions,5,5,4
potential,5,5,5
process,5,5,5
r5,5,5,1
radiometric,5,5,4
relationships,5,5,5
replicate,5,5,1
reports,5,5,4
reu,5,4,3
richness,5,5,2
richter,5,5,3
rodinka,5,5,1
rural,5,5,3
sap,5,5,2
seattle,5,5,4
sensitivity,5,5,5
sensors,5,5,5
shoreline,5,5,2
signal,5,5,1
smith,5,5,2
sounding,5,5,3
ssec,5,5,1
stern,5,5,2
stocks,5,5,2
stratigraphy,5,5,5
streams,5,4,4
sumup,5,5,1
support,5,5,5
sweden,5,5,3
temps,5,5,3
testing,5,5,5
tool,5,5,3
total,5,5,4
tracking,5,5,5
tucker,5,5,3
types,5,5,3
variance,5,5,1
variation,5,5,5
vaskiny,5,5,1
village,5,5,5
villages,5,5,5
watersheds,5,5,5
weathering,5,5,5
yedoma,5,5,2
01apr09,4,4,1
0200,4,4,1
0300,4,4,1
04aug12,4,4,1
0500,4,4,1
0600,4,4,1
06aug10,4,4,1
06aug12,4,4,1
0800,4,4,1
0900,4,4,1
09aug10,4,4,1
10aug08,4,4,1
10m,4,4,2
111203,4,4,1
120113,4,4,1
120224,4,4,1
13c,4,4,4
13jul11,4,4,1
1400,4,4,1
150,4,4,4
1500,4,4,1
16jul11,4,4,1
1950,4,4,2
1961,4,4,4
1989,4,4,4
224ra,4,4,1
226ra,4,4,1
228ra,4,4,1
228th,4,4,1
30apr10,4,4,1
43,4,4,3
48,4,4,2
94,4,4,1
absorption,4,4,3
accuracy,4,4,2
adaptations,4,4,4
adaptive,4,4,3
aeri,4,4,2
aimr,4,3,1
alexandra,4,4,1
anchorage,4,4,3
animida,4,4,3
annika,4,4,3
aos,4,4,1
