token,n,unique_ids,unique_authors
shift,249,1,1
δ,249,1,1
50,248,127,19
microhabitat,248,1,1
tower,248,18,13
mixing,247,10,9
region,247,61,34
unique,246,74,43
stereo,244,3,2
hours,243,46,21
listed,243,13,12
equivalent,241,57,25
salt,241,18,16
path,238,12,3
cdom,237,10,7
22,236,18,5
energy,235,62,11
heading,235,14,6
methods,234,8,8
wm,233,5,1
block,232,21,15
battery,231,38,10
detritus,231,1,1
warning,231,34,3
balance,230,41,9
december,228,6,5
digiquartz,228,12,6
arctic,227,15,15
cells,227,8,7
floor,226,4,4
matrix,226,6,6
micromoles,226,15,8
positive,225,47,25
team,225,11,7
23,223,7,5
37,223,16,3
activities,223,2,2
found,223,19,19
licor,223,19,7
twt,223,12,2
altimeter,222,21,10
21,219,10,7
gps,216,22,17
plots,216,31,17
vlf,216,1,1
incoming,215,43,17
moorings,215,2,1
max,214,8,8
meltwater,213,2,2
potential,213,36,21
roughness,213,4,4
square,213,99,25
vector,213,5,5
1979,212,3,3
fw,212,1,1
fall,211,3,3
file,211,114,39
sonar,211,1,1
west,211,51,32
biomass,210,38,20
age,209,39,34
criteria,209,2,2
extend,208,1,1
leaf,208,27,18
meet,208,1,1
zeros,208,1,1
1250,207,2,2
concent,207,1,1
outlay,207,1,1
separation,207,2,2
beneath,206,3,3
acquisition,205,16,4
atmlay,205,1,1
dbo,205,50,15
antennas,204,3,3
mhz,204,2,2
radiometer,204,24,4
tmb,203,3,1
appended,202,2,2
bedfast,202,2,2
9s,201,1,1
aggregation,201,11,7
detector,201,55,6
dx,201,1,1
irrelavant,201,1,1
irrelevant,201,1,1
multiplexed,201,1,1
picoseconds,201,1,1
row3,201,1,1
row7,201,1,1
stacks,201,1,1
taking,201,1,1
unprocessed,201,1,1
width,201,31,13
12,200,66,37
locations,198,16,15
diatom,197,2,2
depths,195,15,15
regime,195,2,2
scans,194,25,5
utm,194,15,15
internal,193,97,19
climatology,192,2,2
plate,191,5,4
h2o,189,46,16
steps,189,1,1
modis,188,4,3
reference,188,54,20
flow,187,24,19
jan,187,19,8
nest,187,2,2
note,186,36,19
late,184,4,4
datalogger,183,12,5
resolution,183,25,20
aeri,182,12,1
power,182,42,6
details,181,22,15
mg,181,49,33
siemens,181,22,2
threshold,180,16,5
43,179,17,8
determined,179,34,30
ppb,179,9,7
sigma,179,15,12
slope,179,20,15
stream,179,13,10
background,178,40,8
70,176,112,7
grazing,176,6,5
linearity,176,10,1
terrain,175,4,4
established,172,9,5
meaning,172,4,4
node,172,4,4
min,171,34,12
chelsea,170,5,2
elevations,170,3,3
infrared,170,20,5
seatech,170,5,2
aggregated,169,14,9
bulb,169,11,4
centroid,169,2,2
treatment,169,51,24
uptake,169,2,2
monthly,168,5,5
300,167,80,5
millimoles,167,10,3
2018,166,8,8
begin,166,21,1
fluorometer,166,6,5
mmm,166,2,2
rotation,166,21,4
chen,165,13,7
cumulative,165,32,11
minus,165,120,13
tree,165,22,10
dioxide,163,69,31
isotope,163,41,33
sar,163,2,2
estimate,162,31,22
flags,162,41,6
seapoint,162,3,3
squared,162,73,8
target,162,12,6
processing,161,22,16
reached,161,2,2
scenes,161,3,2
amplitude,160,27,6
millero,160,12,6
atmospheric,159,79,26
regyymmmdd,159,1,1
body,158,26,8
files,158,38,6
eco,156,4,3
hot,156,12,1
production,156,8,8
variable,155,34,14
90.0,154,10,1
green,154,20,13
mirror,154,12,1
adjusted,153,6,6
qualifier,153,11,7
solar,153,42,18
upward,153,5,5
crevasse,152,1,1
rainfall,152,45,10
vapor,152,64,16
strain,151,14,9
alaska,149,52,29
corresponds,149,42,15
rov1,148,1,1
soils,148,7,6
activation,147,1,1
due,147,24,16
nudging,147,1,1
wheel,147,19,1
zone,147,34,22
analyzed,146,16,15
andrews,146,1,1
milliliters,146,3,3
10cm,145,18,14
applied,145,23,11
quadrat,145,7,6
crn4,144,12,1
feature,144,30,14
footprint,144,34,9
observations,143,22,18
bird,142,3,3
datum,142,70,8
prior,141,13,11
sector,141,2,2
accumulation,140,19,15
band,140,7,6
minutes,140,21,20
mole,140,23,15
shape,140,20,6
string,140,36,9
trimble,140,6,4
window,140,29,7
pack,139,2,2
tot,139,2,2
zuvlev,139,1,1
network,138,17,11
plev,138,1,1
spikes,138,23,2
multi,137,3,3
perpendicular,137,26,4
reading,137,14,9
ztqlev,137,1,1
150,136,119,8
dataset,136,24,12
delta,136,56,24
indicating,136,53,20
response,136,41,6
snowfall,136,21,7
valid,136,18,3
2012,135,15,12
80,135,114,8
standardized,135,7,1
thermopile,135,7,1
31.40,134,11,2
hydra,134,3,3
mil,134,27,19
netr8,134,1,1
rinex,134,1,1
150.0,133,11,2
live,133,19,14
minimum,133,50,19
22.24,132,10,1
23.04,132,10,1
23.84,132,10,1
25.44,132,10,1
26.24,132,10,1
27.84,132,10,1
00utc,131,1,1
calibration,131,33,11
10.1029,130,2,2
basis,130,6,5
status,130,46,15
view,130,14,2
experiment,129,14,9
pit,129,9,9
unc,129,4,2
composition,128,15,10
frozen,128,21,9
original,128,126,11
refers,128,11,8
200,127,110,7
positions,127,12,8
rho,127,2,2
auxilliary,126,21,2
parallel,126,13,3
plant,126,26,21
bowen,124,1,1
chlorophyll,124,28,19
nanomoles,124,9,2
section,124,16,14
theta,124,5,5
cosine,123,4,4
filter,123,17,15
ms,122,14,11
unit,122,38,21
m3,121,9,7
variables,121,11,7
calendar,120,32,10
shear,120,3,3
2001,119,22,6
acid,119,37,18
instantaneous,119,12,3
scaled,119,14,9
wavelength,119,29,13
db,118,6,3
nearest,118,15,13
periods,118,5,4
radar,118,34,8
sink,118,14,3
turbulent,118,13,9
beginning,117,59,16
mask,117,19,5
moist,117,11,9
0.01,116,5,4
001.00m,116,3,1
002.00m,115,3,1
expected,115,4,4
g1,115,24,3
g2,115,24,3
middle,115,22,14
supersucker,115,1,1
upper,115,16,14
fauna,114,2,2
wgs84,114,46,10
hits,113,2,2
mol,113,9,7
oc,113,2,2
phase,113,22,8
respiration,113,49,25
river,113,34,22
si,113,24,10
spatial,113,14,10
radiance,112,12,1
ring,112,13,7
notes,111,43,31
sampled,111,28,25
strait,111,1,1
thaw,111,34,24
190,110,104,2
51.26,110,10,1
52.28,110,10,1
53.86,110,10,1
54.94,110,10,1
56.66,110,10,1
57.30,110,10,1
58.00,110,10,1
epoch,110,99,4
interferometer,110,12,1
110,109,105,2
120,109,105,2
averaging,109,22,12
gram,109,25,20
represents,109,23,19
250,108,105,6
conductance,108,23,6
dead,108,13,10
gauge,108,13,8
integrated,108,16,7
transects,108,11,7
depolarization,107,22,1
garcia,107,2,2
gordon,107,2,2
moles,107,5,4
moment,107,17,4
step,107,16,3
0.00,106,105,2
000.50m,106,3,1
001.50m,106,3,1
description,106,57,29
retrieval,106,29,5
sn,106,3,2
210,105,104,2
begins,105,105,2
light,105,43,23
mode,105,27,3
sinking,105,1,1
140,104,103,1
160,104,103,1
averages,104,16,5
experimental,104,14,10
millisiemens,104,1,1
survey,104,19,16
tilt,104,16,6
170,103,103,1
grams,103,26,22
land,103,11,9
2016,102,16,15
220,102,102,1
230,102,102,1
ammonium,102,38,23
concentrations,102,16,15
september,102,27,6
240,101,101,1
class,101,23,15
pi,101,15,11
wgs,101,14,7
doy,100,3,2
installed,100,13,8
magnetic,100,23,12
photosynthetic,100,26,16
recording,100,33,10
terms,100,4,3
analog,99,24,3
anomaly,99,8,6
fire,99,3,2
itrf2005,99,1,1
milligrams,99,37,12
outgoing,99,37,12
start,99,55,39
unknown,99,9,9
ohm,98,15,4
thermo,98,6,5
approximately,97,28,7
fc_cw,97,37,2
instruments,97,21,5
optical,97,9,8
sublimation,97,3,2
11,96,32,20
2010,96,53,17
burn,96,13,8
discharge,96,19,14
zooplankton,96,2,2
109,95,4,1
260,95,95,1
curve,95,9,8
le,95,38,3
thermister,95,1,1
10.1175,94,2,1
16,94,43,29
doppler,94,28,4
friction,94,43,13
0.5,93,19,11
approximate,93,8,7
photon,93,34,15
submerged,93,4,4
community,92,29,8
head,92,17,6
02,91,24,4
18,91,31,20
deposition,91,3,3
measure,91,28,19
probes,91,5,4
reindeer,91,17,3
domain,90,7,7
draft,90,2,2
350,89,81,7
free,89,12,11
icp,89,6,6
phosphate,89,28,18
shrub,89,13,9
14,88,24,20
centre,88,2,2
coverage,88,16,5
detection,88,20,10
digital,88,20,7
low,88,49,17
moss,88,21,14
relaxation,88,3,3
vapour,88,3,3
volts,88,4,3
270,87,87,1
95,87,7,5
constant,87,22,5
spectrum,87,21,5
stability,87,14,9
storage,87,20,9
subsurface,87,5,5
tundra,87,16,13
yakutsk,87,1,1
billion,86,14,10
firing,86,3,2
included,86,10,10
280,85,82,2
adjustment,85,2,2
calculating,85,13,2
cylindrical,85,2,2
interface,85,8,7
ng,85,7,7
pm,85,22,2
resistivity,85,3,3
vn,85,1,1
71,84,22,2
coregistration,84,1,1
iceberg,84,1,1
inverse,84,1,1
mortality,84,1,1
plane,84,34,9
psi,84,1,1
remineralization,84,1,1
root,84,14,11
shapes,84,1,1
submarine,84,1,1
tracer,84,3,3
uncertainy,84,3,1
visible,84,9,7
zenith,84,5,4
19th,83,21,1
2015_2016_winter_e6_temperature.csv,83,21,1
255.709193,83,21,1
256th,83,21,1
365.00000,83,21,1
366.00000,83,21,1
cell,83,27,13
fc,83,37,2
leap,83,21,1
season,83,25,15
thousand,83,8,8
1999,82,5,3
abundance,82,21,13
assigned,82,34,28
horizon,82,17,14
sites,82,26,17
statistical,82,30,6
universal,82,27,14
arbitrary,81,9,7
daily,81,15,14
multiplied,81,16,6
origin,81,6,5
ph,81,40,27
rg,81,24,3
stem,81,11,7
sw,81,6,4
ecosystem,80,35,18
latitiude,80,12,2
linear,80,21,10
monin,80,18,10
ppbv,80,9,6
project,80,19,16
pulse,80,47,4
records,80,5,5
sheet,80,9,7
silicon,80,16,9
290,79,79,3
decibar,79,9,3
km,79,23,9
run,79,5,4
004.00m,78,3,1
006.00m,78,3,1
08,78,28,10
backscatter,78,24,2
carex,78,8,6
composed,78,7,3
daylight,78,22,9
law,78,16,2
surficial,78,6,4
310,77,77,2
5m,77,5,4
bottles,77,4,2
bound,77,4,4
evaporation,77,3,3
fired,77,4,2
geometry,77,30,6
isotopic,77,16,10
june,77,10,8
polder,77,2,1
0.25,76,11,8
1984,76,4,4
2010jf001934,76,1,1
320,76,76,1
330,76,76,1
agl,76,2,1
cherskiy,76,1,1
conditions,76,25,15
fixed,76,19,8
hoffman,76,1,1
jgr,76,1,1
matter,76,27,15
340,75,75,1
cheese,75,2,1
explanation,75,1,1
measurment,75,65,5
program,75,13,5
swiss,75,2,1
timestamp,75,41,14
wpl,74,37,2
annual,73,12,12
diffuse,73,14,8
grain,73,11,5
leg,73,3,3
navigation,73,7,4
partitioned,73,14,1
quantity,73,7,6
red,73,10,7
rh,73,28,7
sensors,73,8,8
tau,73,39,4
2019,72,2,2
ble,72,9,1
cr300,72,12,1
electric,72,5,3
reflection,72,2,2
site_plot_height,72,1,1
12bit,71,1,1
2000,71,11,9
360,71,71,3
blue,71,9,6
boils,71,1,1
exchange,71,48,17
limit,71,13,11
m002,71,1,1
numerical,71,13,9
provided,71,23,18
sf,71,3,2
smart,71,1,1
10.1038,70,1,1
10m,70,4,3
dark,70,9,7
dissipation,70,3,3
http,70,8,6
means,70,14,11
nature13796,70,1,1
particulate,70,10,7
star,70,19,5
turner,70,5,3
2011,69,14,11
2val,69,1,1
calcium,69,39,23
classification,69,33,16
condensed,69,1,1
convective,69,1,1
crystals,69,1,1
cyclops,69,4,2
dendri,69,1,1
dropplets,69,1,1
elapsed,69,7,7
entry,69,66,5
final,69,20,9
flakes,69,1,1
fraction:sic,69,1,1
ini,69,1,1
millimeters,69,9,8
postive,69,1,1
refl,69,1,1
reflectance,69,15,5
refreezing,69,1,1
seabird,69,7,6
smb,69,1,1
sources,69,6,6
spheri,69,1,1
sphericity,69,1,1
starts,69,66,4
stationarity,69,23,2
study,69,16,14
su,69,2,2
subset,69,10,3
world,69,11,6
1.5,68,9,5
descent,68,1,1
outlay1_1,68,1,1
rates,68,22,9
rf,68,1,1
ru,68,1,1
standing,68,4,3
atmlay3_3,67,1,1
ch4,67,19,14
cubed,67,66,5
fluoremeter,67,3,1
gas,67,37,13
identifies,67,31,11
qa,67,12,8
reflectivity,67,38,3
sodium,67,35,19
sol,67,1,1
upoly,67,3,1
370,66,66,2
3m,66,6,4
57,66,1,1
added,66,23,19
combo,66,1,1
main,66,7,7
qing,66,1,1
reflected,66,32,10
silicate,66,10,9
µmol,66,8,6
common,65,17,12
deficit,65,49,10
doc,65,16,10
dried,65,10,9
herds,65,14,1
log,65,11,9
source,65,16,14
85,64,4,3
bad,64,32,7
cruise,64,35,16
exponent,64,2,2
numeric,64,12,7
stable,64,27,18
starting,64,13,12
_pi,63,11,7
19,63,27,12
2003,63,8,6
2d,63,1,1
3d,63,1,1
barotropic,63,1,1
boil,63,1,1
drag,63,1,1
exceptions,63,13,8
inside,63,22,10
nee,63,17,4
properties,63,19,4
stretching,63,1,1
tracers,63,1,1
beaded,62,2,1
binned,62,9,3
coastal,62,2,2
lateral,62,26,4
oven,62,5,5
thyristor,62,2,1
weather,62,30,14
burba,61,36,2
contour,61,61,1
finding,61,8,3
gpp,61,15,2
hatch,61,14,3
methane,61,29,17
replaced,61,11,7
representative,61,11,7
thb,61,2,1
tussock,61,22,11
06,60,18,6
13,60,24,21
2006,60,8,6
200m,60,2,1
3.4.4,60,10,6
bromine,60,11,7
circulation,60,7,2
detection_status,60,11,1
fluoresence,60,7,2
global,60,12,9
h_c,60,37,2
heaves,60,1,1
july,60,8,7
layer’s,60,10,6
le_cw,60,37,2
microphysical,60,17,2
qualifiers,60,10,6
word,60,7,2
45,59,5,4
obukhov,59,13,9
single,59,14,12
spectral,59,20,7
uncertainties,59,4,4
western,59,5,5
380,58,58,4
gmt,58,26,8
lowest,58,20,8
metal,58,6,6
radius,58,18,4
spectrometer,58,11,11
uncorrected,58,21,7
user,58,3,3
vpd,58,24,3
adcp,57,7,3
adding,57,8,7
cooler,57,13,2
international,57,3,3
no3,57,20,14
satellite,57,9,7
apex,56,12,1
bottle,56,20,13
decibars,56,4,4
detected,56,27,6
integer,56,19,12
kilograms,56,5,5
loss,56,17,13
magnesium,56,32,17
motor,56,12,1
separated,56,8,7
stirling,56,12,1
supply,56,12,1
tides,56,1,1
trillion,56,5,5
1900,55,4,2
1st,55,20,7
bgl,55,2,1
chloride,55,24,14
growth,55,21,17
sequential,55,19,7
true,55,31,11
umol,55,19,11
129,54,2,2
bulk,54,13,9
functional,54,15,10
gene,54,6,4
mooring,54,13,5
nad83,54,27,4
potassium,54,29,17
racmo2.3p2,54,1,1
times,54,24,10
00z,53,10,3
2.0,53,3,2
255,53,3,2
acoustic,53,8,7
lengh,53,4,1
observers,53,8,5
plain,53,3,3
radiocarbon,53,12,10
0.03m,52,5,1
1489,52,1,1
1e,52,1,1
517,52,1,1
atmxh,52,1,1
casts,52,1,1
configured,52,1,1
line,52,25,16
map,52,6,6
monoxide,52,7,4
panel,52,38,6
placeholder,52,1,1
preindustrial,52,1,1
qsr2200,52,1,1
satlantic,52,1,1
scf,52,1,1
sn20498,52,1,1
snowpack,52,4,3
upoly0,52,1,1
views,52,12,1
wd,52,25,4
0.01m,51,3,1
000.15m,51,3,1
000.25m,51,3,1
003.00m,51,3,1
1.00,51,3,3
1.5m,51,5,3
2008,51,24,10
cores,51,9,9
hydrogen,51,16,13
midnight,51,31,4
readings,51,3,3
yellow,51,2,2
2017,50,15,13
cambel,50,2,1
curves,50,5,5
foken,50,1,1
generated,50,20,7
goodrich,50,1,1
https,50,6,6
left,50,14,10
m.s,50,1,1
mauder,50,1,1
partial,50,15,9
seasonal,50,6,6
table,50,17,16
tube,50,9,9
worse,50,1,1
000.10m,49,3,1
101,49,3,2
102,49,3,2
2m,49,11,8
30cm,49,11,7
blank,49,9,8
poss,49,16,3
south,49,24,18
ta,49,25,4
bed,48,9,8
diattenuation,48,11,1
differentials,48,1,1
ensemble,48,1,1
km3,48,1,1
lichen,48,11,5
orienation,48,11,1
scatters,48,11,1
uw,48,25,4
0203.1,47,2,1
038,47,2,1
0450,47,2,1
0777,47,2,1
1.50m,47,4,1
10.1109,47,2,1
1520,47,2,1
2002.808301,47,2,1
baum,47,2,1
cdftsp,47,2,1
glacier,47,8,8
history,47,6,4
hit,47,7,4
incubation,47,14,10
jamc,47,2,1
longitudinal,47,17,14
lter,47,13,4
nh4,47,17,12
parameters,47,20,7
platnick,47,2,1
stamp,47,15,5
subplot,47,9,8
terminus,47,3,3
tgrs,47,2,1
wavelengths,47,2,2
0.1,46,9,8
0.50m,46,4,1
csat3,46,23,2
electronics,46,13,2
fcle_freqresp,46,23,2
g3,46,23,2
g4,46,23,2
h2o_1,46,23,2
li7500,46,23,2
midpoint,46,10,9
monitoring,46,10,6
nan,46,4,3
oib,46,2,2
par_out,46,23,2
rl,46,23,2
rl_out,46,23,2
rnet,46,23,2
sequence,46,23,8
snowd,46,23,2
strength,46,8,6
swc_1,46,23,2
swc_2,46,23,2
ta_1,46,23,2
tendency,46,23,2
tsoil_1,46,23,2
tsoil_2,46,23,2
tsurf,46,23,2
uw_freqr,46,23,2
vessel,46,11,5
vp,46,23,2
vp_1,46,23,2
wd_1,46,23,2
56,45,4,3
aws,45,1,1
black,45,20,6
confidence,45,7,6
ellipsoid,45,10,6
equation,45,8,8
export,45,3,3
method,45,24,20
metric,45,3,3
o2,45,12,8
salix,45,8,7
situ,45,14,12
srin,45,1,1
1.00m,44,4,1
1m,44,9,7
2.00m,44,4,1
2007,44,10,8
23.8,44,10,1
barium,44,19,6
classified,44,6,5
convention,44,3,3
corrections,44,27,4
device,44,30,7
diagnostic,44,37,2
doi.org,44,4,4
kinetic,44,3,3
phosphorus,44,16,14
plant_information.csv,44,1,1
resistor,44,14,3
rim,44,13,2
solid,44,4,4
stat,44,10,1
vitel,44,6,5
0.5m,43,5,4
4.00m,43,3,1
6.00m,43,3,1
adult,43,3,3
alpha,43,11,7
burned,43,5,3
composite,43,3,3
controller,43,13,2
distances,43,14,4
family,43,8,7
latitudinal,43,16,13
platform,43,6,6
rebs,43,2,2
resistive,43,13,2
sum,43,21,11
tissue,43,10,9
trees,43,8,6
variance,43,16,4
vertically,43,2,2
yr,43,2,2
anemometer,42,6,4
buoyancy,42,1,1
chem,42,1,1
creation,42,1,1
curvilinear,42,1,1
eta,42,1,1
geos,42,1,1
goose,42,1,1
lakes,42,5,5
ozone,42,8,5
partitioning,42,14,1
polygon,42,6,5
schmidt,42,1,1
solubility,42,5,4
surveyor,42,2,2
terrestrial,42,8,6
tp101m,42,3,2
version,42,17,6
xi,42,1,1
anchor,41,10,3
automatically,41,14,3
centerline,41,3,3
character,41,24,3
coordinated,41,17,9
dew,41,12,6
drainage,41,3,2
fine,41,14,7
logical,41,13,2
pore,41,9,9
regression,41,23,8
signify,41,1,1
tin,41,11,4
unburned,41,8,3
white,41,5,3
aboveground,40,12,9
atmosphere,40,20,8
comments,40,12,11
ir,40,19,4
largest,40,6,6
levels,40,23,7
list,40,17,12
mhp,40,1,1
photo,40,21,9
stereographic,40,3,3
ug,40,10,8
03,39,11,5
520,39,2,2
canopy,39,11,10
ce,39,7,7
cycle,39,17,6
element,39,5,5
engraved,39,2,2
extracted,39,12,12
flower,39,4,2
northern,39,8,8
ppm,39,9,9
sensitivity,39,26,3
springs,39,1,1
subtracted,39,14,4
000.23m,38,3,1
1.50,38,2,2
2.00,38,1,1
acidic,38,5,4
addition,38,6,6
coarse,38,14,6
eggs,38,4,4
entered,38,3,3
milliliter,38,7,6
percentile,38,3,3
polynomial,38,2,2
rms,38,2,2
taxon,38,16,6
watts,38,7,5
