token,n
WPL_LE,23
WS_1_f,23
WS_f,23
WS_gf,23
1._meters,22
25_meters,22
dD,22
NO2,22
Sample ID,22
Temp_MRC_-000.06m,22
Temp_MRC_+000.09m,22
Temperature_1,22
Temperature_2,22
19_meters,21
Aggr,21
Akk_bak,21
Akp_bak,21
Akt_bak,21
Akv_bak,21
alpha1,21
alpha2,21
alpha3,21
AttPhy,21
AUX_1,21
AUX_2,21
AUX_3,21
AUX_4,21
AUX_5,21
AUX_6,21
BetaN,21
BioIter,21
Charnok_alpha,21
CrgBan_cw,21
Cs_r,21
Cs_w,21
density00,21
DIN,21
dSi,21
dstart,21
dtfast,21
dye_01,21
el,21
f,21
Falpha,21
Fbeta,21
Fgamma,21
gamma2,21
gls_c1,21
gls_c2,21
gls_c3m,21
gls_c3p,21
gls_cmu0,21
gls_Kmin,21
gls_m,21
gls_n,21
gls_p,21
gls_Pmin,21
gls_sigk,21
gls_sigp,21
grid,21
hc,21
Huon,21
K1N,21
K1Si,21
K2N,21
K3N,21
KP1,21
KP2,21
KP3,21
LDetritusN,21
LDetritusSi,21
length,21
Lm2CLM,21
Lm3CLM,21
LnudgeM2CLM,21
LnudgeM3CLM,21
LnudgeTCLM,21
LsshCLM,21
LtracerCLM,21
LtracerSponge,21
LtracerSrc,21
LuvSrc,21
LwSrc,21
M2nudg,21
M3nudg,21
mask_psi,21
mask_rho,21
mask_u,21
mask_v,21
mortP1,21
mortP2,21
mortP3,21
mortZoo,21
nAVG,21
ndefAVG,21
ndefHIS,21
ndtfast,21
nHIS,21
Nitrate,21
nl_tnu2,21
NLDRR,21
nRST,21
NSDRR,21
ntimes,21
ntsAVG,21
ocean_time,21
omega,21
phytoplankton1NO3,21
phytoplankton1Si,21
phytoplankton2NO3,21
phytoplankton3NO3,21
pm,21
Pmax1,21
Pmax2,21
Pmax3,21
pn,21
R1,21
R1Max,21
R2Max,21
R3Max,21
rdrag,21
rdrg,21
rdrg2,21
rho0,21
salt,21
SDetritusN,21
SDetritusSi,21
shflux,21
SiLDRR,21
SiSDRR,21
spherical,21
ssflux,21
swrad,21
sz_alpha,21
Tcline,21
Temp_MRC_+000.07m,21
Temp_MRC_+000.33m,21
Temperature at nominal depth  30.0 (m),21
theta_b,21
theta_s,21
Tnudg,21
ubar,21
user,21
vbar,21
Vstretching,21
Vtransform,21
wLD,21
wPhy1,21
wPhy2,21
wPhy3,21
wSD,21
x_psi,21
x_rho,21
x_u,21
x_v,21
xl,21
y_psi,21
y_rho,21
y_u,21
y_v,21
zeta,21
Znudg,21
Zob,21
ZooExc,21
zooplanktonNO3,21
Zos,21
Zos_hsig_alpha,21
_meters.2,20
8_meters,20
CH4,20
depth_m,20
FL,20
Meter,20
PO4,20
strTaxon,20
Temp_MRC_+000.24m,20
wetstar,20
1 m,19
Air_Temperature,19
Chloride,19
G,19
strType,19
Sulfate,19
Temp_107_+000.15m,19
Temp_109_+002.00m,19
Temp_109_+003.00m,19
Temp_109_air,19
Temp_MRC_+000.01m,19
Temp_MRC_+000.15m,19
Temp_MRC_+000.32m,19
Temp_MRC_+000.48m,19
TempC_9.00m,19
Temperature_0.5.m,19
travel_time,19
treatment,19
VEG_TYPE,19
Band 1 VALUE,18
Calcium,18
d15N,18
Density,18
error,18
FF,18
FO,18
FPE,18
geometry,18
LPE,18
Magnesium,18
MRN1,18
NETRAD,18
Ocean Pressure (dB) at Sensor #1(Nominal Depth = 20.0 m),18
Ocean Pressure (dB) at Sensor #2(Nominal Depth = 40.0 m),18
Potassium,18
SD,18
Si,18
Sodium,18
SPAR,18
strSite,18
svCM1,18
Temp_MRC_+000.08m,18
Temp_THP_surf,18
Temperature at nominal depth  35.0 (m),18
Temperature at nominal depth  40.0 (m),18
Temperature at nominal depth  50.0 (m),18
Temperature at nominal depth  60.0 (m),18
Temperature_Surface,18
Top,18
ts,18
USTAR,18
Weight,18
2_meters,17
6_meters,17
Age,17
alpha,17
bottom,17
Bottom,17
Ca,17
Cond,17
CPAR,17
Diameter,17
JulianDay,17
latitude (N+),17
longitude (E+),17
N,17
name,17
ndepths,17
nobs,17
Ocean Pressure (dB) at Sensor #3(Nominal Depth = 60.0 m),17
SC,17
strStat,17
Temp_107_+000.11m,17
Temp_MRC_+000.00m,17
top,17
type,17
0_meters,16
0.3_meters,16
0.5 m,16
alb,16
ammonium,16
break_up,16
closing,16
d13C,16
D18O,16
DEPTH,16
Discharge_cms,16
DOC,16
Dust_tot,16
Electrical,16
Error,16
Flow rate,16
freeze_onset,16
freeze_period,16
freeze_up,16
hice,16
hp,16
icew,16
internal ice shortwave flux,16
iwc,16
latent heat flux,16
longwave flux,16
mean_velocity,16
melt_onset,16
melt_period,16
melt_season,16
midpoint,16
mode_velocity,16
MSA,16
numResponse,16
open_water_period,16
opening,16
outer_ice_free_period,16
poss_temp,16
poss_wx,16
rate,16
reflectivity,16
salti,16
sd_velocity,16
sensible heat flux,16
SGIP,16
shortwave flux,16
SLIP,16
slope,16
spectra,16
strGSpp,16
strPlot,16
strTrait,16
surface layer shortwave flux,16
Target_Depth,16
Temp_MRC_-000.08m,16
Temp_MRC_+000.03m,16
Temp_MRC_+000.63m,16
Temp_TMC_+008.50m,16
Temperature_0.2.m,16
temperature_1,16
Temperature_1.m,16
temperature_2,16
tempi,16
Tube,16
xO3,16
Y,16
zeroth_moment,16
ch4_flux,15
CO,15
comments,15
Concentration,15
date_time,15
Datetime,15
double time_offset[time],15
DoY,15
file_name,15
float alt[Record],15
"float Avg_CloudFraction[nheights,time]",15
"float Avg_IceEffectiveRadius[nheights,time]",15
"float Avg_LiqEffectiveRadius[nheights,time]",15
"float Avg_Retrieved_IWC[nheights,time]",15
"float Avg_Retrieved_LWC[nheights,time]",15
float Heights[nheights],15
float lat[Record],15
float long[Record],15
GPP,15
H2O,15
int base_time,15
K,15
LONG,15
Mg,15
migdata,15
Na,15
Reco,15
"short CloudPhaseMask[nheights,time]",15
"short CloudRetrievalMask[nheights,time]",15
short Instruments[instrum],15
site_name,15
SST,15
T1,15
Temp_107_+000.23m,15
Temp_MRC_+000.16m,15
Temp_MRC_+000.23m,15
Temp_MRC_+000.26m,15
Temp_MRC_+000.38m,15
Temp_MRC_+000.47m,15
Time_AST,15
Time_UTC,15
TS_1,15
TS_2,15
u*,15
x_coord,15
y_coord,15
14.8_meters,14
ABBapexTemp,14
ABBapexTempWeight,14
ABBbottomTemp,14
ABBbottomTempWeight,14
ABBmaxTempDiff,14
ABBtempOffset,14
ABBtopTemp,14
ABBtopTempWeight,14
AERIunitNumber,14
AGC,14
airNearBBsTemp,14
airNearInterferometerTemp,14
atmosphericPressure,14
atmosphericRelativeHumidity,14
BBcavityFactor,14
BBcontroller1temp,14
BBcontroller2temp,14
BBsupportStructureTemp,14
calibratedSceneID,14
calibrationAmbientTemp,14
calibrationCBBtemp,14
calibrationHBBtemp,14
channelNumber,14
computerTemp,14
coolerCompressorTemp,14
coolerCurrent,14
coolerExpanderTemp,14
coolerPowerSupplyTemp,14
Core_ID,14
dateYYMMDD,14
detectorTemp,14
E_0,14
FC_cwu_f,14
FC_cwu_gf,14
FC_FreqR,14
fixed12KohmResistor,14
fixed2500ohmResistor,14
fixed97KohmResistor,14
FP_NEEnight,14
FP_Temp,14
GPP_f,14
H_FreqR,14
hatchOpen,14
HBBapexTemp,14
HBBapexTempWeight,14
HBBbottomTemp,14
HBBbottomTempWeight,14
HBBmaxTempDiff,14
HBBtempOffset,14
HBBtopTemp,14
HBBtopTempWeight,14
height,14
instrumentUnitNumber,14
Intensity,14
interferometerEnclosureRelativeHumidity,14
interferometerSecondPortTemp,14
interferometerWindowTemp,14
JOSSTIME,14
LE_FreqR,14
maxPitch,14
maxRoll,14
maxSampleStdDev,14
mirrorMotorTemp,14
missingDataFlag,14
motorDriverTemp,14
NEE,14
opticsCompartmentRelativeHumidity,14
outsideAirTemp,14
PotRad,14
qc_ch4_flux,14
qc_FC_cw,14
qc_FC_cwu_gf,14
qc_H_c_f,14
qc_H_c_gf,14
qc_LE_cw_f,14
qc_LE_cw_gf,14
qc_Rg_gf,14
qc_RH_gf,14
qc_Ta_gf,14
qc_TAU_c,14
qc_time,14
qc_VPD_gf,14
R_ref,14
rackAmbientTemp,14
rainSensorIntensity,14
Reco_f,14
RH_f,14
RH_gf,14
sceneMirPosCount,14
sceneMirPosEncoder,14
sceneMirPosEncoderDrift,14
sceneMirPosEncoderMaxDrift,14
sceneMirrorAngle,14
sceneMirrorMotorStep,14
sceneMirrorPosition,14
sceneViewDuration,14
SCEtemp,14
Sr,14
surface_temperature,14
systemReleaseNumber,14
TAU_FreqR,14
Temp_C,14
Temp_MRC_+000.18m,14
Temp_MRC_+000.70m,14
Temp_MRC_+000.78m,14
Temp_TMB_+000.50m,14
THAW DEPTH,14
Time_UTC_hours,14
timeHHMMSS,14
TTIME,14
WATER DEPTH,14
wnum2,14
X,14
Analyte,13
CTD_Salinity,13
d13CO,13
Day_of_year,13
dC17O,13
dC18O,13
FC_cwbNEGu_f,13
FC_cwbNEGu_gf,13
Height,13
numHr,13
O2,13
OBJECTID,13
qc_FC_cwbNEGu_gf,13
rh,13
Sample_Name,13
sat,13
SnowD_f,13
strAlaska,13
Tair,13
Temp_MRC_-000.05m,13
Temp_MRC_+000.12m,13
Temp_MRC_+000.39m,13
Temp_MRC_+000.54m,13
Temp_MRC_+000.56m,13
Temp_TMC_air,13
temperature_3,13
Tsurf,13
Wavelength,13
AirTemperatureC,12
alt_highest_signal,12
AnalogBSCounts,12
AnalogDelta,12
AnalogDepol,12
AnalogDepolSigma,12
AnalogDiat,12
AnalogDiatSigma,12
AnDeltaSigma,12
Azimuth_Beam1,12
background_light,12
backscatter,12
backscatter_1,12
backscatter_2,12
Bottle_Salinity,12
Bottom_depth,12
coaditionsCount,12
cor-nT,12
cs616_1,12
cs616_2,12
CTD_Temperature,12
Date and Time,12
deer_count,12
deer_dens,12
Depth (m),12
detection_status,12
DO,12
Elevation_Beam1,12
energy,12
Ethane,12
first_cbh,12
HeaderIndex,12
herds_cnt,12
initial_cbh,12
laser_pulse_energy,12
laser_temperature,12
LW_IN,12
LW_OUT,12
mean_rad,12
measurement_parameters,12
mn_background_1,12
mn_background_2,12
nshots,12
nT,12
nT/m,12
numberOfPCs,12
PCDelta,12
PCDeltaSigma,12
PCDepol,12
PCDepolSigma,12
PCDiat,12
PCDiatSigma,12
PhotonCountingBSCounts,12
picket-x,12
picket-y,12
PPFD_IN,12
PulseLength,12
qc_Tsoil_gf,12
QcFlag,12
qcH,12
qcLE,12
qcNEE,12
qcRg,12
qcrH,12
qcTair,12
qcTsoil,12
qcustar,12
qcVPD,12
range,12
Range,12
receiver_sensitivity,12
RecordDelay,12
ReflectivityData,12
rep_rate,12
rH,12
SampleLength,12
SampleRate,12
sd_background_1,12
sd_background_2,12
second_cbh,12
snow depth,12
sq,12
standard_dev_mean_rad,12
station_name,12
status_flag,12
status_string,12
sum_backscatter,12
SW_IN,12
SW_OUT,12
temp_detector,12
temp_laser,12
Temp_MRC_+000.04m,12
Temp_MRC_+000.05m,12
Temp_MRC_+000.20m,12
Temp_MRC_+000.41m,12
Temp_MRC_+000.62m,12
temp_telescope,12
TempC_8.50m,12
Temperature_3,12
third_cbh,12
tilt_angle,12
TIMESTAMP_END,12
TIMESTAMP_START,12
Tsoil,12
Tsoil_f,12
Tsoil_gf,12
Turbidity,12
TxFrequency,12
Ustar,12
UTMzone,12
vertical_visibility,12
window_contamination,12
wnum,12
0.59_meters,11
0.9_meters,11
air_temperature,11
alpha_150,11
alpha_22,11
alpha_23,11
alpha_24,11
alpha_25,11
alpha_26,11
alpha_28,11
alpha_31,11
alpha_51,11
alpha_52,11
alpha_54,11
alpha_55,11
alpha_56,11
alpha_57,11
alpha_58,11
alpha_90,11
APAR,11
AvgNoiseLevel,11
CalCheckLevel,11
CalCheckTime,11
CircularDepolarizationRatio,11
Cl,11
ClutterHeight,11
CO2_2,11
collection,11
core,11
Core,11
count_in_herds,11
CTD_Depth,11
DataQualityStatus,11
DCFilterONOFF,11
DISTANCE FROM ROAD,11
FAPAR,11
gain_150,11
gain_22,11
gain_23,11
gain_24,11
gain_25,11
gain_26,11
gain_28,11
gain_31,11
gain_51,11
gain_52,11
gain_54,11
gain_55,11
gain_56,11
gain_57,11
gain_58,11
gain_90,11
GateSpacing,11
GPP_fqc,11
habitat_type,11
InterPulsePeriod,11
irtemp,11
LAI,11
line,11
lwp,11
lwp_90,11
manual_qc_hatpro,11
manual_qc_hf,11
MeanDopplerVelocity,11
MinimumDetectableReflectivity,11
ModeDescription,11
ModeNum,11
NEE_PI,11
NoiseLevel,11
NumCodeBits,11
NumCoherentIntegrations,11
numEW,11
NumFFT,11
numGround,11
numHeight,11
NumHeights,11
NumReceivers,11
NumSpectralAverages,11
NyquistVelocity,11
PeakTransmittedPowerAvg,11
Power,11
PPFD_DIF,11
PPFD_OUT,11
PulseWidth,11
pwv,11
pwv_90,11
RadarConstant,11
RangeCorrectedPower,11
ReceiverMode,11
ReceiverNumber,11
RECO_PI,11
Reflectivity,11
rhamb,11
Rx290KLevel,11
RxCalTimeStamp,11
RxGain,11
s_gain_150,11
s_gain_22,11
s_gain_23,11
s_gain_24,11
s_gain_25,11
s_gain_26,11
s_gain_28,11
s_gain_31,11
s_gain_51,11
s_gain_52,11
s_gain_54,11
s_gain_55,11
s_gain_56,11
s_gain_57,11
s_gain_58,11
s_gain_90,11
