token,n
centimeter,687
identification,683
index,677
instrument,675
manufactured,674
orientation,673
logger,670
values,670
analysis,669
station,668
vegetation,664
dates,662
distance,662
albedo,654
collected,650
horizontal,644
90,643
difference,641
salts,631
individual,630
wave,626
phytoplankton,624
traces,624
intensity,620
co2,616
row,616
weight,615
empty,614
antenna,613
deviation,613
interval,613
thermistor,613
photographic,611
wet,605
rows,604
campbell,599
identifier,594
units,584
m2,583
negative,582
scientific,579
bottom,577
code,570
beam,568
transect,568
6,557
smoothed,550
degree,545
107,543
gpr,543
yy,541
7,540
practical,538
al,532
firn,532
sonic,521
model,520
offset,519
1000,515
signal,515
individuals,514
fluorescence,513
organic,512
scan,512
par,508
boundary,505
carbon,504
30,502
change,502
image,502
base,490
record,479
material,476
decibels,473
swe,464
downwelling,463
millimeter,461
scene,461
observed,460
elevation,457
median,457
counted,453
upwelling,453
hour,451
maximum,450
samples,450
8,449
virtual,449
15,444
altitude,443
365,435
minute,432
labs,431
melt,431
pair,425
lab,424
travel,423
based,419
count,419
hh,417
correction,414
header,414
permafrost,414
downward,413
moisture,412
reported,411
sediment,410
gain,409
2015,407
meridional,406
zonal,406
20,405
derived,405
skipped,404
configure,402
digit,399
parameter,399
nitrogen,398
thickness,398
column,396
dry,395
brightness,392
transition,392
diode,388
mrc,388
color,387
sbe,383
cstar,382
respective,381
floating,380
calibrated,371
fraction,370
output,367
located,362
mass,360
60,358
ln2,352
letter,350
momentum,348
raw,347
id,345
lower,345
normalized,344
winter,344
additional,343
capture,342
roll,341
precipitation,337
secondary,336
buoy,335
error,334
blackbody,332
conducts,331
electricity,331
psu,330
saturation,330
2014,328
100,326
doi,326
volumetric,326
direction,325
kg,325
primary,324
camera,321
initial,321
january,321
feet,320
occur,320
pixels,320
transmission,319
array,318
coefficient,317
latent,315
relevant,315
depths,314
coordinates,312
sky,312
million,309
micro,308
sound,308
downcast,306
upcast,306
bw,305
liter,305
photograph,305
estimated,304
profile,304
attenuation,303
qc,302
scale,302
random,300
degc,299
amount,297
displacement,297
half,296
julian,296
polar,296
nitrate,295
tram,293
chemical,291
24,289
switch,289
format,287
period,281
9,280
mineral,277
factor,275
fluxes,274
kilogram,274
biospherical,272
wetlabs,272
irradiance,271
uncertainty,271
cnr4,270
ion,270
cubic,269
borehole,267
greenland,267
converted,266
tower,266
days,264
mv,264
receiver,263
short,261
utc,261
northing,260
sbe43,260
2013,259
rain,259
battery,258
e.g,258
easting,258
31,257
typically,255
expressed,254
photosynthetically,254
protons,251
23,250
40,250
mixing,250
absorbing,249
integral,249
na,249
nm,249
nucleus,249
shift,249
δ,249
50,248
microhabitat,248
region,247
team,246
unique,246
stereo,244
hours,243
listed,243
equivalent,241
salt,241
path,238
cdom,237
22,236
energy,235
heading,235
methods,234
wm,233
block,232
detritus,231
warning,231
balance,230
micromoles,229
december,228
digiquartz,228
arctic,227
cells,227
floor,226
matrix,226
positive,225
37,223
activities,223
found,223
licor,223
twt,223
altimeter,222
incoming,220
21,219
aggregation,219
plots,218
gps,216
vlf,216
moorings,215
max,214
meltwater,213
potential,213
roughness,213
square,213
vector,213
1979,212
fw,212
fall,211
file,211
sonar,211
west,211
biomass,210
age,209
criteria,209
extend,208
leaf,208
meet,208
zeros,208
1250,207
concent,207
outlay,207
separation,207
beneath,206
acquisition,205
atmlay,205
dbo,205
antennas,204
mhz,204
radiometer,204
tmb,203
12,202
appended,202
bedfast,202
locations,202
9s,201
detector,201
dx,201
irrelavant,201
irrelevant,201
multiplexed,201
picoseconds,201
row3,201
row7,201
stacks,201
taking,201
unprocessed,201
width,201
note,198
diatom,197
utm,196
regime,195
scans,194
internal,193
climatology,192
plate,191
resolution,191
details,190
h2o,190
flow,189
steps,189
modis,188
reference,188
jan,187
nest,187
db,186
late,184
datalogger,183
aeri,182
power,182
aggregated,181
mg,181
siemens,181
threshold,180
43,179
determined,179
ppb,179
sigma,179
slope,179
stream,179
background,178
70,176
grazing,176
linearity,176
terrain,175
established,172
meaning,172
node,172
min,171
chelsea,170
elevations,170
infrared,170
seatech,170
bulb,169
centroid,169
treatment,169
uptake,169
monthly,168
qualifier,168
300,167
dioxide,167
millimoles,167
2018,166
begin,166
fluorometer,166
mmm,166
rotation,166
chen,165
cumulative,165
minus,165
tree,165
processing,164
isotope,163
sar,163
body,162
estimate,162
flags,162
seapoint,162
squared,162
target,162
atmospheric,161
reached,161
scenes,161
amplitude,160
millero,160
vapor,160
regyymmmdd,159
files,158
variable,158
eco,156
footprint,156
hot,156
production,156
90.0,154
green,154
mirror,154
adjusted,153
solar,153
upward,153
crevasse,152
rainfall,152
strain,151
network,150
alaska,149
corresponds,149
rov1,148
soils,148
activation,147
due,147
nudging,147
thermistors,147
wheel,147
zone,147
analyzed,146
andrews,146
milliliters,146
10cm,145
applied,145
quadrat,145
crn4,144
feature,144
mole,143
observations,143
bird,142
datum,142
indicating,142
prior,141
sector,141
accumulation,140
band,140
minutes,140
shape,140
string,140
trimble,140
window,140
pack,139
tot,139
zuvlev,139
plev,138
spikes,138
multi,137
perpendicular,137
reading,137
ztqlev,137
150,136
dataset,136
delta,136
frozen,136
response,136
snowfall,136
valid,136
2012,135
80,135
standardized,135
thermopile,135
31.40,134
hydra,134
mil,134
netr8,134
rinex,134
150.0,133
calibration,133
live,133
minimum,133
positions,133
variables,133
22.24,132
23.04,132
23.84,132
25.44,132
26.24,132
27.84,132
00utc,131
pit,131
10.1029,130
basis,130
status,130
view,130
experiment,129
unc,129
composition,128
original,128
refers,128
200,127
accurate,127
rho,127
thaw,127
auxilliary,126
parallel,126
plant,126
bowen,124
chlorophyll,124
nanomoles,124
section,124
theta,124
cosine,123
filter,123
ms,122
unit,122
m3,121
turbulent,121
calendar,120
shear,120
2001,119
acid,119
instantaneous,119
scaled,119
spatial,119
wavelength,119
nearest,118
periods,118
radar,118
sink,118
beginning,117
mask,117
moist,117
submerged,117
0.01,116
001.00m,116
002.00m,115
expected,115
g1,115
g2,115
middle,115
represents,115
supersucker,115
upper,115
fauna,114
respiration,114
wgs84,114
hits,113
mol,113
oc,113
phase,113
river,113
si,113
epoch,112
radiance,112
ring,112
averaging,111
notes,111
sampled,111
strait,111
190,110
51.26,110
52.28,110
53.86,110
54.94,110
56.66,110
57.30,110
58.00,110
interferometer,110
110,109
120,109
gram,109
250,108
conductance,108
dead,108
description,108
gauge,108
integrated,108
transects,108
depolarization,107
garcia,107
gordon,107
moles,107
moment,107
step,107
0.00,106
000.50m,106
001.50m,106
retrieval,106
sn,106
210,105
begins,105
land,105
light,105
mode,105
sinking,105
140,104
160,104
averages,104
experimental,104
millisiemens,104
pi,104
survey,104
tilt,104
170,103
grams,103
photosynthetic,103
2016,102
220,102
230,102
ammonium,102
concentrations,102
outgoing,102
september,102
240,101
class,101
wgs,101
doy,100
installed,100
magnetic,100
recording,100
start,100
terms,100
analog,99
anomaly,99
fire,99
itrf2005,99
milligrams,99
unknown,99
ohm,98
thermo,98
approximately,97
fc_cw,97
instruments,97
optical,97
sublimation,97
11,96
2010,96
approximate,96
burn,96
discharge,96
photon,96
zooplankton,96
109,95
260,95
curve,95
friction,95
le,95
thermister,95
10.1175,94
16,94
doppler,94
0.5,93
storage,93
community,92
head,92
low,92
02,91
18,91
deposition,91
measure,91
probes,91
reindeer,91
domain,90
draft,90
plane,90
350,89
free,89
icp,89
phosphate,89
shrub,89
subsurface,89
14,88
centre,88
coverage,88
detection,88
digital,88
moss,88
relaxation,88
stability,88
vapour,88
volts,88
270,87
95,87
billion,87
constant,87
spectrum,87
tundra,87
yakutsk,87
firing,86
included,86
280,85
adjustment,85
calculating,85
cylindrical,85
gmt,85
interface,85
ng,85
pm,85
resistivity,85
vn,85
71,84
coregistration,84
iceberg,84
inverse,84
mortality,84
psi,84
remineralization,84
root,84
shapes,84
submarine,84
tracer,84
uncertainy,84
visible,84
zenith,84
19th,83
2015_2016_winter_e6_temperature.csv,83
255.709193,83
256th,83
365.00000,83
366.00000,83
cell,83
fc,83
leap,83
season,83
thousand,83
1999,82
abundance,82
assigned,82
ecosystem,82
horizon,82
sites,82
statistical,82
universal,82
arbitrary,81
daily,81
monin,81
multiplied,81
origin,81
ph,81
rg,81
run,81
stem,81
sw,81
08,80
latitiude,80
linear,80
ppbv,80
project,80
pulse,80
records,80
sheet,80
silicon,80
290,79
decibar,79
km,79
timestamp,79
004.00m,78
006.00m,78
backscatter,78
carex,78
composed,78
daylight,78
law,78
surficial,78
310,77
5m,77
annual,77
bottles,77
bound,77
evaporation,77
fired,77
geometry,77
isotopic,77
june,77
numerical,77
polder,77
0.25,76
1984,76
2010jf001934,76
320,76
330,76
agl,76
cherskiy,76
conditions,76
fixed,76
hoffman,76
jgr,76
matter,76
340,75
cheese,75
diffuse,75
explanation,75
measurment,75
program,75
swiss,75
provided,74
wpl,74
grain,73
leg,73
navigation,73
partitioned,73
qa,73
quantity,73
red,73
rh,73
sensors,73
tau,73
2019,72
ble,72
cr300,72
electric,72
exchange,72
reflection,72
site_plot_height,72
12bit,71
2000,71
360,71
blue,71
boils,71
limit,71
m002,71
sf,71
smart,71
10.1038,70
10m,70
dark,70
dissipation,70
http,70
means,70
nature13796,70
particulate,70
star,70
turner,70
_pi,69
2011,69
2val,69
calcium,69
classification,69
condensed,69
convective,69
crystals,69
cyclops,69
dendri,69
dropplets,69
elapsed,69
entry,69
exceptions,69
final,69
flakes,69
fraction:sic,69
ini,69
millimeters,69
postive,69
refl,69
reflectance,69
refreezing,69
seabird,69
smb,69
sources,69
spheri,69
sphericity,69
starts,69
stationarity,69
study,69
su,69
subset,69
world,69
1.5,68
added,68
descent,68
outlay1_1,68
rates,68
rf,68
ru,68
standing,68
atmlay3_3,67
ch4,67
cubed,67
fluoremeter,67
gas,67
identifies,67
reflectivity,67
replaced,67
representative,67
sodium,67
sol,67
upoly,67
3.4.4,66
370,66
3m,66
57,66
combo,66
deficit,66
layer’s,66
main,66
qing,66
qualifiers,66
reflected,66
silicate,66
µmol,66
boil,65
common,65
doc,65
dried,65
herds,65
log,65
source,65
85,64
bad,64
cruise,64
exponent,64
numeric,64
stable,64
starting,64
19,63
2003,63
2d,63
3d,63
barotropic,63
drag,63
inside,63
nee,63
properties,63
stretching,63
tracers,63
beaded,62
binned,62
coastal,62
lateral,62
methane,62
oven,62
thyristor,62
weather,62
45,61
burba,61
contour,61
finding,61
gpp,61
hatch,61
thb,61
tussock,61
06,60
13,60
2006,60
200m,60
bromine,60
circulation,60
detection_status,60
fluoresence,60
global,60
h_c,60
heaves,60
july,60
le_cw,60
microphysical,60
obukhov,60
word,60
single,59
spectral,59
uncertainties,59
western,59
380,58
integer,58
lowest,58
metal,58
radius,58
spectrometer,58
uncorrected,58
user,58
vpd,58
adcp,57
adding,57
cooler,57
international,57
no3,57
satellite,57
20.0,56
apex,56
bottle,56
decibars,56
detected,56
kilograms,56
loss,56
magnesium,56
motor,56
separated,56
stirling,56
supply,56
tides,56
trillion,56
1900,55
1st,55
bgl,55
chloride,55
growth,55
previous,55
sequential,55
true,55
umol,55
129,54
bulk,54
functional,54
gene,54
mooring,54
nad83,54
potassium,54
racmo2.3p2,54
times,54
00z,53
2.0,53
255,53
acoustic,53
lengh,53
observers,53
partial,53
plain,53
radiocarbon,53
0.03m,52
1489,52
1e,52
517,52
7.5,52
atmxh,52
casts,52
configured,52
line,52
map,52
monoxide,52
panel,52
placeholder,52
polygon,52
preindustrial,52
qsr2200,52
satlantic,52
scf,52
sn20498,52
snowpack,52
table,52
upoly0,52
views,52
wd,52
0.01m,51
000.15m,51
000.25m,51
003.00m,51
1.00,51
1.5m,51
2.5,51
2008,51
cores,51
hydrogen,51
midnight,51
readings,51
yellow,51
2017,50
cambel,50
curves,50
foken,50
generated,50
goodrich,50
https,50
left,50
m.s,50
mauder,50
seasonal,50
tube,50
worse,50
000.10m,49
101,49
102,49
2m,49
30cm,49
blank,49
poss,49
south,49
ta,49
bed,48
diattenuation,48
differentials,48
ensemble,48
km3,48
lichen,48
orienation,48
rim,48
scatters,48
uw,48
0203.1,47
038,47
0450,47
0777,47
1.50m,47
10.1109,47
1520,47
2002.808301,47
baum,47
cdftsp,47
glacier,47
history,47
hit,47
incubation,47
jamc,47
longitudinal,47
lter,47
nh4,47
parameters,47
platnick,47
stamp,47
subplot,47
terminus,47
tgrs,47
wavelengths,47
0.1,46
0.50m,46
csat3,46
electronics,46
fcle_freqresp,46
g3,46
g4,46
h2o_1,46
li7500,46
midpoint,46
monitoring,46
nan,46
oib,46
par_out,46
rl,46
rl_out,46
rnet,46
sequence,46
snowd,46
strength,46
swc_1,46
swc_2,46
ta_1,46
tendency,46
tsoil_1,46
tsoil_2,46
tsurf,46
uw_freqr,46
vessel,46
vp,46
vp_1,46
wd_1,46
1m,45
56,45
aws,45
black,45
confidence,45
ellipsoid,45
equation,45
export,45
method,45
metric,45
o2,45
phosphorus,45
salix,45
situ,45
srin,45
1.00m,44
2.00m,44
2007,44
23.8,44
25.0,44
barium,44
classified,44
convention,44
corrections,44
device,44
diagnostic,44
doi.org,44
kinetic,44
plant_information.csv,44
resistor,44
solid,44
stat,44
vitel,44
0.5m,43
4.00m,43
6.00m,43
adult,43
alpha,43
burned,43
composite,43
controller,43
distances,43
family,43
latitudinal,43
platform,43
rebs,43
resistive,43
sum,43
tissue,43
trees,43
variance,43
vertically,43
yr,43
40.0,42
anemometer,42
buoyancy,42
chem,42
creation,42
curvilinear,42
eta,42
geos,42
goose,42
lakes,42
ozone,42
partitioning,42
schmidt,42
solubility,42
surveyor,42
terrestrial,42
tp101m,42
version,42
xi,42
60.0,41
anchor,41
automatically,41
centerline,41
character,41
coordinated,41
dew,41
drainage,41
fine,41
logical,41
pore,41
regression,41
signify,41
tin,41
unburned,41
white,41
15.0,40
aboveground,40
atmosphere,40
comments,40
ir,40
largest,40
levels,40
list,40
mhp,40
photo,40
stereographic,40
ug,40
03,39
520,39
canopy,39
ce,39
cycle,39
element,39
engraved,39
extracted,39
flower,39
northern,39
ppm,39
sensitivity,39
springs,39
subtracted,39
000.23m,38
1.50,38
2.00,38
acidic,38
addition,38
coarse,38
eggs,38
entered,38
milliliter,38
percentile,38
polynomial,38
ranges,38
rms,38
road,38
taxon,38
watts,38
000.05m,37
000.07m,37
1.000000,37
84,37
algorithm,37
azimuth,37
benthic,37
biological,37
comment,37
compound,37
electrical,37
genus,37
geographic,37
hr,37
iso,37
kilo,37
lysimeter,37
manta,37
ndvi,37
polygons,37
readme,37
regions,37
sand,37
score,37
severity,37
sex,37
stands,37
swath,37
walls,37
0.0,36
0.05,36
201,36
20m,36
3.0m,36
400,36
activity,36
basal,36
bi,36
blood,36
bromide,36
chamber,36
drops,36
equipment,36
fi,36
filling,36
forest,36
hertz,36
hpa,36
imagery,36
independently,36
metre,36
petal,36
pico,36
radiosity,36
received,36
reciprocal,36
replicate,36
simulated,36
stored,36
straits,36
tesla,36
transmit,36
009.00m,35
10.0,35
5.0,35
achieve,35
alkalinity,35
attribute,35
cable,35
captured,35
check,35
colors,35
comma,35
critical,35
fc_cwu_f,35
hhmm,35
including,35
methyl,35
notation,35
observer,35
pitch,35
rock,35
sami,35
serial,35
trait,35
wt,35
000.08m,34
1.00000,34
10be,34
15m,34
bro,34
ca,34
capacity,34
considered,34
cooperative,34
ease,34
ethane,34
genetic,34
gradients,34
hh:mm,34
identified,34
mmol,34
observatory,34
ratios,34
software,34
stand,34
sulfate,34
types,34
ug.g,34
visual,34
μg,34
0.2m,33
000.11m,33
1433770.952,33
1711771.97,33
2007jb004949,33
5955217.06,33
august,33
basestation,33
distributed,33
era,33
extractable,33
function,33
general.php,33
inorganic,33
itrf.ensg.ign.fr,33
joe,33
litter,33
micrograms,33
multiple,33
northward,33
occurred,33
outflow,33
polarization,33
posterior,33
released,33
removal,33
retrieved,33
scar,33
seedlings,33
sheppard,33
strontium,33
tair,33
0.50,32
000.40m,32
2005,32
36,32
aerosol,32
consistent,32
debris,32
duration,32
eastward,32
element2,32
epsg,32
firns,32
h2,32
hbb,32
includes,32
marker,32
micromol,32
molar,32
national,32
normal,32
recruit,32
recruits,32
seafloor,32
spectra,32
woody,32
000.02m,31
000.70m,31
10.5194,31
1950,31
21x,31
adt,31
bdl,31
closure,31
computer,31
ct,31
destination,31
fast,31
hemisphere,31
i.e,31
installation,31
intercalibration,31
itex,31
local,31
lumped,31
mid,31
modeled,31
molting,31
obtain,31
pc,31
peak,31
percents,31
photons,31
proportion,31
significant,31
swissteco,31
transmitter,31
vpdb,31
000.03m,30
000.13m,30
aluminum,30
breon,30
category,30
colzy,30
concentratin,30
drizzle,30
filtering,30
finnigan,30
freedom,30
hinzman,30
images,30
include,30
isotopes,30
kilometers,30
mark,30
methanesulfonic,30
mounted,30
noaa,30
numbered,30
permittivity,30
probability,30
pure,30
science,30
sr50a,30
stage,30
treatments,30
δ18o,30
000.20m,29
15cm,29
17,29
59,29
arcss,29
covered,29
divergence,29
feather,29
fractional,29
leaves,29
lter's,29
manual,29
notebook,29
resin,29
shrubs,29
summer,29
temperatures,29
topographic,29
trough,29
vorticity,29
vsmow,29
µg,29
5cm,28
aperature,28
automatic,28
blackbodies,28
c1,28
compressor,28
corrective,28
degradation,28
ecmwf,28
encoder,28
errors,28
exact,28
extractions,28
foliar,28
gravimetric,28
harvested,28
ideal,28
indicator,28
kohm,28
landscape,28
latin,28
lidar,28
mbar,28
northeast,28
permil,28
pmol,28
positioning,28
processed,28
rack,28
sat,28
sce,28
shell,28
taxa,28
twenty,28
000.01m,27
000.18m,27
000.28m,27
09,27
0cm,27
1.0,27
1x1,27
30.0,27
3x3,27
4.00,27
6.00,27
bag,27
carried,27
catchment,27
ceilometer,27
codes,27
counting,27
describes,27
downcore,27
dust,27
intensive,27
intermediate,27
microcat,27
moving,27
names,27
object,27
oxide,27
ppt,27
rating,27
referenced,27
respect,27
role,27
sensitive,27
warming,27
111,26
14c,26
1990,26
1998,26
200cm,26
205cm,26
412,26
abbreviation,26
auto,26
canada,26
d2,26
d7,26
delay,26
differential,26
fields,26
float,26
h7,26
kcl,26
key,26
mat,26
millivolts,26
moderate,26
multispectral,26
po4,26
sap,26
setting,26
structure,26
sulfur,26
t1,26
temporal,26
validy,26
ws,26
2009,25
artifact,25
chromophoric,25
close,25
covariance,25
creek,25
definition,25
determine,25
din,25
foraminifers,25
freeze,25
injection,25
input,25
master,25
mcd,25
otu,25
poor,25
seawater,25
sec,25
toolik,25
uncalibrated,25
0.63,24
000.09m,24
000.17m,24
001,24
20cm,24
20xx,24
3408,24
700nm,24
ablation,24
adc,24
alarm,24
allelle,24
alphanumeric,24
analyzer,24
attenuated,24
barrow,24
brine,24
calculate,24
cf,24
circular,24
complete,24
conducted,24
d14c,24
data's,24
elemental,24
essen,24
event,24
factory,24
graminoid,24
greenseeker,24
incremented,24
kitchener,24
kpa,24
massive,24
melting,24
micromolar,24
microsatellite,24
microsiemens,24
operational,24
orange,24
particles,24
real,24
rhodinka,24
route,24
segment,24
specimens,24
stations,24
unitless,24
vaisala,24
van,24
vicinity,24
viper,24
_1,23
000.24m,23
000.30m,23
1c,23
26,23
48,23
acp,23
bits,23
buried,23
cavity,23
chopper,23
co2_1,23
cold,23
computed,23
coriolis,23
crbasic,23
densiometer,23
deuterium,23
emission,23
fc_cwb_gf,23
figure,23
h_freqresp,23
interpolated,23
iterations,23
joss_tim,23
label,23
lock,23
measuring,23
mixed,23
ml,23
modern,23
picomol,23
pll,23
precipitable,23
reduction,23
rg_out,23
running,23
subplots,23
surrounding,23
synchronization,23
tiller,23
ust,23
wild,23
wire,23
wpl_fc,23
wpl_le,23
ws_1,23
0.22,22
000.04m,22
000.22m,22
000.54m,22
000.60m,22
2002,22
31.4,22
absorbed,22
agc,22
aged,22
attached,22
bathymetry,22
breast,22
cl,22
dye,22
egg,22
forb,22
gate,22
generic,22
inclination,22
lagoon,22
li,22
major,22
medium,22
nitric,22
nitrite,22
pad,22
plfa,22
pptv,22
predator,22
pyranometer,22
quantum,22
ship,22
shown,22
spacing,22
spasskaya,22
ssp,22
subsample,22
sy10,22
sy14,22
tarsus,22
thermal,22
thermokarst,22
000.12m,21
000.14m,21
000.33m,21
000000l,21
1994,21
2001jd000807,21
2077,21
28,21
35.0,21
443,21
50.0,21
absolute,21
accounting,21
acids,21
actual,21
aerial,21
alpine,21
approximation,21
april,21
assimilation,21
banner,21
bey,21
boussinesq,21
breaking,21
charnok,21
chlorine,21
convergence,21
correspond,21
coupled,21
craig,21
decomposed,21
diffusivity,21
dsi,21
duck,21
dwarf,21
excitation,21
excretion,21
farm,21
fatty,21
fit,21
identity,21
ignition,21
incorporated,21
initialization,21
initilization,21
iron,21
laplacian,21
lead,21
mercury,21
micron,21
multiplying,21
navicula,21
niskin,21
nonlinear,21
obukov,21
package,21
parrington,21
plug,21
proplus,21
quadratic,21
restart,21
sediments,21
si:n,21
slipperiness,21
smow,21
sponge,21
statistically,21
support,21
synchronized,21
thick,21
tke,21
track,21
transformation,21
trend,21
um,21
underway,21
unfenced,21
v9,21
0.15,20
000.06m,20
000.48m,20
2500,20
254,20
40cm,20
4326,20
555,20
akst,20
bandwidth,20
bucket,20
bud,20
categories,20
database,20
daughter,20
dispersal,20
drive,20
excess,20
exposed,20
false,20
fish,20
hc2s3,20
inertial,20
manganese,20
nmol,20
population,20
ran,20
repetition,20
tl,20
university,20
0.3,19
000.00m,19
0000,19
00t00,19
5th,19
9.00m,19
absorption,19
acetylene,19
ages,19
characters,19
combination,19
compaction,19
components,19
degrees_east,19
degrees_north,19
descriptions,19
form,19
habitat,19
hydrologic,19
identify,19
lena,19
picarro,19
previously,19
report,19
roots,19
runoff,19
sighting,19
similarity,19
subsection,19
tag,19
uncertain,19
unfiltered,19
watershed,19
ysi,19
0.02m,18
0.06,18
000.16m,18
000.38m,18
05103,18
15n,18
590cm,18
approx,18
arm,18
aspect,18
ast,18
barents,18
clam,18
clockwise,18
correct,18
deployment,18
directional,18
divided,18
dominant,18
drying,18
ed,18
exposure,18
extraction,18
facing,18
feces,18
fram,18
harvest,18
imaginary,18
inferred,18
irradiation,18
jones,18
kelvin,18
larch,18
lights,18
ln,18
lw,18
march,18
margin,18
microns,18
microzooplankton,18
nares,18
o3,18
port,18
seed,18
silt,18
slant,18
stratification,18
ten,18
theory,18
tibia,18
turbidity,18
unstable,18
µm,18
0.02,17
0.05m,17
000.27m,17
1.11000,17
1995,17
3.00,17
97,17
a.l.c,17
actived,17
arcticlcc.org,17
b.m,17
branched,17
break,17
c28,17
census,17
coincident,17
conservation,17
d18o,17
datasheets,17
deep,17
describing,17
etimate,17
feathers,17
grosse,17
hyperboreus,17
indication,17
mwr,17
natural,17
outer,17
products,17
propagating,17
quartz,17
simply,17
t0,17
t2,17
technique,17
tempearture,17
umol.m,17
undercatch,17
wedge,17
written,17
zeroth,17
0.08,16
0.2,16
000.19m,16
000.32m,16
000.36m,16
000.47m,16
13c,16
366,16
50cm,16
50m,16
95th,16
aboard,16
animals,16
bands,16
basic,16
basin,16
bounding,16
carbonate,16
cc,16
cdr,16
chick,16
closing,16
conc,16
condition,16
consisting,16
country,16
d13c,16
densities,16
dscd,16
duterium,16
edge,16
epply,16
epsilon,16
erect,16
eunotia,16
falling,16
freeze_onset,16
freeze_up,16
g1_2,16
hinzmans,16
iii,16
increment,16
larix,16
male,16
mb,16
mille,16
msa,16
mul,16
nox,16
oxides,16
page,16
paper,16
procedural,16
quadrats,16
reanalysis,16
sci,16
sgip,16
site's,16
surveys,16
suspended,16
transverse,16
url,16
usa,16
void,16
vwc,16
werners,16
0.03,15
0.0752759,15
0.10,15
0.15m,15
0.65,15
08.00,15
18o,15
760cm,15
acceptable,15
account,15
actuation,15
alkanoic,15
atmos,15
barometric,15
book,15
boulean,15
c5,15
calcareous,15
celcius,15
ch1,15
chromium,15
contamination,15
contributing,15
copepodid,15
cross,15
cs616,15
datasets,15
departure,15
drilled,15
evergreen,15
examined,15
excel,15
february,15
fk,15
geolocator,15
glacalis,15
haze,15
integrifolia,15
irms,15
ivanova,15
iwc,15
labeled,15
lysimeters,15
mergedsounding,15
migrated,15
mnt,15
monitor,15
mxcra,15
n2,15
november,15
october,15
ordinary,15
os,15
p3,15
pco2,15
proper,15
protocol,15
publication,15
radiosonde,15
refer,15
reflectometer,15
related,15
res,15
rises,15
rm,15
savings,15
scaling,15
shutter,15
similarly,15
slip,15
squares,15
tidal,15
transducer,15
typical,15
visibility,15
ze,15
0.07m,14
0.10m,14
0.11m,14
000.35m,14
000.39m,14
000.41m,14
000.63m,14
000000utc,14
12.5,14
13cm,14
14.8,14
16o,14
2282_2287,14
46,14
7.5cm,14
abb,14
achnanthes,14
advancement,14
analyses,14
analyte,14
ascii,14
atop,14
backward,14
banana,14
bbs,14
beryllium,14
bp,14
butane,14
c6f,14
ch2,14
channels,14
cm3,14
columns,14
compartment,14
compatibility,14
complex,14
conditioning,14
d15n,14
deciduous,14
deployed,14
discrete,14
disturbance,14
driver,14
dummy,14
eairms,14
elements,14
enclosure,14
eol,14
equals,14
equilibrator,14
examples,14
expander,14
fc_cwu_gf,14
females,14
flange,14
forward,14
gisp2,14
h_c_f,14
h_gf,14
hand,14
headcount,14
heads,14
heatsink,14
heights,14
hyd,14
indicative,14
ingest,14
interferogram,14
interferomter,14
le_cw_f,14
le_cw_gf,14
lux,14
males,14
mercator,14
microbial,14
mottor,14
neem,14
nightime,14
nmr,14
nutrients,14
optics,14
outputs,14
p4,14
phi_1,14
piece,14
priority,14
productivity,14
publications,14
represent,14
rg_f,14
rg_gf,14
rh_f,14
rh_gf,14
rounded,14
safed,14
sections,14
sensed,14
silica,14
specifically,14
