token,n
plasma,1
plausible,1
play,1
pluck,1
plucked,1
plueddemann,1
plume,1
plumes,1
pms,1
poes,1
poiseuille,1
poke,1
poker,1
poktovik,1
polarhub,1
polarized,1
poles,1
political,1
politics,1
polysaccharide,1
pontoon,1
port,1
portal,1
portions,1
possibilites,1
postfire,1
postscript,1
potentially,1
potentiostat,1
poverty,1
power,1
precipitations,1
precursors,1
predict,1
predicted,1
prediction,1
predictive,1
prehistoric,1
preindustrial,1
prelude,1
presence,1
presentation,1
presentations,1
preserve,1
preserved,1
prevalence,1
prey,1
primigenius,1
proceedings,1
production_2011,1
prof,1
professional,1
profiler_aon_2015,1
projection,1
projections,1
proof,1
propagating,1
propagation,1
propane,1
proportional,1
proposed,1
prospection,1
protein,1
ps0909,1
ps1012,1
pseudocalanus,1
public,1
publishing,1
pulchra,1
pumping,1
putuligayuk,1
qaanaaq,1
qalluuraq,1
qaujimajatuqangit,1
qfo,1
quad,1
quadrant,1
quadrats,1
qualitative,1
quantification,1
quarternary,1
quartz,1
quax,1
quebec,1
quick,1
quotas,1
r.v,1
r1,1
r10,1
r11,1
r14,1
r16,1
r17,1
r19,1
r2,1
r20,1
r21,1
r22,1
r23,1
r25,1
r26,1
r27,1
r28,1
r3,1
r32,1
r35,1
r36,1
r4,1
r40,1
r41,1
r42,1
r43,1
r44,1
r45,1
r46,1
r47,1
r50a,1
r50b,1
r51,1
r52,1
r53,1
r55,1
r55a,1
r6,1
r7,1
r8,1
r9,1
radars,1
radial,1
radiocesium,1
radiogenic,1
radiographs,1
radionuclides,1
radon,1
raised,1
raman,1
ramenskii,1
random,1
rantin,1
raobs,1
raster,1
raven,1
rb1505,1
rcp4.5,1
reaction,1
reactive,1
reactivity,1
read,1
readers,1
reco,1
recording,1
recovery,1
recruitment,1
reduced,1
references,1
referencing,1
reflect,1
reflectivity,1
reflector,1
régional,1
regional_methane_and_carbon_dioxide_fluxes,1
regionale,1
reinvestigating,1
relating,1
relativized,1
remaking,1
remembers,1
remnant,1
remotely,1
replacement,1
representative,1
reprocessed,1
reproduction,1
republic,1
res,1
reserve,1
residents,1
resistivity,1
resolved,1
respiratory,1
reticulata,1
retreating,1
return,1
revised,1
revision,1
revitalizing,1
ribonucleic,1
ribosomal,1
richardson,1
rings,1
rising,1
risks,1
river_discharge_naujat_kuat_river_greenland_2011_to_2014,1
river_discharge_pakisjoqsouth_river_greenland_2011_to_2012,1
rna,1
ro2,1
road,1
rock,1
rockjock,1
rogozhny,1
ronald,1
roode,1
roof,1
rosen,1
rotting,1
routes,1
ruby,1
russell,1
s.qanat.yzd.irn,1
s01feb13a,1
s01feb13b,1
s01feb13c,1
s01feb13d,1
s01mar13b,1
s01mar13c,1
s11dec12b,1
s11dec12c,1
s11dec12d,1
s11dec12e,1
s11jan13b,1
s2,1
s20nov12b,1
s20nov12e,1
s20nov1d,1
s22oct12a,1
s22oct12b,1
s22oct12c,1
s22oct12d,1
s22oct12e,1
s22oct12f,1
s22oct12g,1
s22oct12h,1
s27feb13b,1
s27feb13c,1
s27feb13d,1
s27feb13f,1
s6,1
sag,1
sakha,1
salcha,1
sale,1
samoylov,1
sampler,1
sand,1
sandstone,1
santa,1
saunatuk,1
sbe37,1
scaling,1
scanning,1
scat,1
scattering,1
scenarios,1
scholars,1
scholarships,1
scholastic,1
school,1
schrader,1
scintillometer,1
sclerochronology,1
scripps,1
scripts,1
sculpin,1
sdsu,1
seaglider,1
seaplane,1
searching,1
sections,1
sedct,1
sedimentology,1
sedimetological,1
sedna,1
seeps,1
segodnya,1
seida,1
seismicity,1
selawik,1
select,1
sem,1
semi,1
semptember,1
senescence,1
sensitive,1
sequestration,1
sermeq,1
sermia,1
server,1
setting,1
severely,1
severnaya,1
sf,1
shading,1
shainin,1
shaktoolik,1
shape,1
shear,1
sheep,1
shetland,1
shifiting,1
shifting,1
shishmaref,1
shoaling,1
shoot,1
shore,1
shorebirds,1
shortwave,1
shrinking,1
shrublands,1
siferd,1
sigl,1
signature,1
signatures,1
significance,1
significant,1
silalirijiit,1
sirac,1
sitka,1
skewt,1
skq2016,1
skq2017,1
skutustadir,1
skyllingstad,1
slightly,1
smmr,1
snag,1
snowchange,1
snowfences,1
snowmodel,1
snowpacks,1
soa,1
socialcultural,1
socio,1
soda,1
solidungula,1
solifluction,1
soligenous,1
solubility,1
soluble,1
solutes,1
solutions,1
sonobuoy,1
soot,1
sorarrain,1
spectroscopy,1
speleothem,1
sphaericus,1
spider,1
spore,1
spores,1
springs,1
sps,1
spss,1
ssl,1
sst,1
st.mary's,1
stabeno,1
stakeholders,1
stamnes,1
standard,1
standardized,1
stars,1
station1,1
station2,1
statistics,1
steele,1
stem,1
stephen,1
stewart,1
stoichiometry,1
stomach,1
storms,1
stow,1
straits,1
strategies,1
strategy,1
stratified,1
stratiform,1
stratigraphic,1
stratigraphies,1
strontium,1
studying,1
stuyahok,1
sublimation,1
submesoscale,1
submicron,1
submission,1
subnivean,1
subsets,1
substrate,1
subsystem,1
suicide,1
sulfate,1
sulfide,1
sunrise,1
sunspot,1
supersucker,1
supply,1
supports,1
supra,1
supraglacial,1
surficial,1
surveyed,1
sustainabiity,1
svjatoy,1
swamp,1
swe,1
swedish,1
swl10,1
swl13,1
sympagic,1
synergies,1
synergy,1
t0,1
tables,1
tagging,1
tags,1
talik,1
tall,1
talnah,1
talnik,1
tamara,1
tanada,1
tanana,1
tang,1
tape,1
tateyama,1
taxa,1
taxon,1
tco2,1
teacher,1
techniques,1
technological,1
telemetry,1
telida,1
temperate,1
tempest,1
tephra,1
terra,1
terraces,1
teshekpuk,1
tests,1
tetragona,1
texas,1
theoretical,1
thermokarsts,1
thermometry,1
theses,1
thick,1
thule_flux_plot_ndvi_2013,1
thule_flux_plot_temps_2013,1
thule_met_2013,1
thule_plot_flux_2013,1
thule_precip_isotope_2012,1
thule_snowfence_gasx_2012,1
thule_snowfence_soil_stem_water_isotope_2012,1
thule_snowfence_tissue_2012,1
thule_soil_moisture_2013,1
thule_tram_soil_moisture_2012,1
thule_tram_soil_temp_winter_2013,1
thule_tram_soil_temps_2012,1
thule_tram_soil_temps_2013,1
tif,1
tiff,1
tiksi,1
tiles,1
tingmiatornis,1
tips,1
tissue,1
title,1
to24jul09,1
toe,1
tools,1
topographic,1
topographical,1
toposequence,1
tow,1
tower_data_and_fluxes,1
town,1
tracer,1
tradeoffs,1
trail,1
trails,1
training,1
trait,1
traits,1
tramline,1
tramlines,1
trampling,1
transantarctic,1
transarctic,1
transcriptome,1
transfer,1
transitioning,1
transmission,1
transmissometer,1
transmittance,1
transparency,1
transpiration,1
transportation,1
trapflux,1
travel,1
treatment,1
trees,1
trends,1
trial,1
tribal,1
tropopause,1
troposphere,1
trust,1
tsp,1
tsunami,1
tube,1
tubutulik,1
tuluksak,1
tunalik,1
tungak,1
tunu13,1
tupungatitoglacier,1
turbidity,1
turonian,1
tusk,1
tussocks,1
tuymada,1
txtuvpt,1
u10,1
u13,1
u14,1
u15,1
u16,1
u17,1
u18,1
u19,1
u20,1
u21,1
u22,1
u23,1
u24,1
u25,1
u26,1
u27,1
u28,1
u29,1
u3,1
u30,1
u33,1
u34,1
u35,1
u36,1
u37,1
u38,1
u39,1
u4,1
u40a,1
u40b,1
u41,1
u42,1
u43,1
u44,1
u45,1
u46,1
u47,1
u48,1
u49,1
u5,1
u50,1
u51,1
u52,1
u53,1
u54,1
u55,1
u56,1
u57,1
u58,1
u6,1
u8,1
uchugrak,1
uhi,1
uk37,1
umbozero,1
uncertainty,1
uncrewed,1
undecoded,1
undercurrent,1
underflows,1
union,1
uniting,1
unix,1
unmanipulated,1
unraveling,1
unsustainable,1
update,1
upland,1
uplands,1
ursus,1
usability,1
usgs,1
utgiagvik,1
utquiagvik,1
uummannaq,1
v2,1
v2.1.0,1
v3.2,1
validation,1
valkyrie,1
var,1
vector,1
vena,1
venetie,1
viability,1
vibracore,1
vicinity,1
videos,1
view,1
villaluenga,1
viridis,1
vis,1
visiting,1
visual,1
visualizations,1
voc,1
voids,1
volumetric,1
vorkuta,1
vulcan,1
vulnerability,1
waccm,1
waccm4,1
wadati,1
wale,1
walk,1
walleye,1
walruses,1
waterbodies,1
weakening,1
webgis,1
websec,1
website,1
weight,1
weighted,1
west_greenland_fjords_ctd_allcasts_2010,1
west_greenland_fjords_suspended_sediment_vs_modis_reflectance,1
wetland,1
wetlands,1
wetted,1
whiteaker,1
wickersham,1
wide,1
widespread,1
wildfire,1
wildfires,1
wiley,1
willow,1
winter_cruise,1
wolverine,1
wt6,1
xue,1
xxvi,1
yahtse,1
yakha,1
yearly,1
yellowstone,1
yields,1
youth,1
yr,1
yrbp,1
yup,1
yupik,1
zalmolodchikov,1
zemlya,1
zenith,1
zhuang,1
zooplankter,1
zooplankton_east_siberian_sea_1948_and_1973_pavshtiks,1
zooplanton,1
δ18o,1
δ2h,1
